trace_name,indice_csv
11030611.IV.OFFI..HH,0
11030611.IV.PIEI..HH,1
11030611.IV.RM33..EH,3
11030611.IV.SNTG..HH,6
11030611.IV.SSFR..HH,8
11030611.IV.T0110..HH,11
11030611.IV.T1202..EH,13
11030611.IV.T1204..EH,14
11030611.IV.T1211..EH,15
11030611.IV.T1212..EH,17
11030611.IV.T1213..EH,19
11030611.IV.T1215..EH,21
11030611.IV.T1216..EH,23
11030611.IV.T1217..EH,25
11030611.IV.T1218..EH,27
11030611.IV.T1219..EH,29
11030611.IV.T1220..EH,31
11030611.IV.T1221..EH,33
11030611.IV.T1241..EH,35
11030611.IV.T1243..HH,37
11030611.IV.T1244..EH,39
11030611.IV.T1245..HH,41
11030611.IV.T1246..HH,43
11030611.IV.T1247..HH,44
11030611.IV.T1256..HH,45
11030611.IV.T1299..EH,47
11030611.IV.TERO..HH,49
11030611.IV.VCEL..EH,51
11030911.IV.CESI..HH,52
11030911.IV.CSP1..EH,53
11030911.IV.FDMO..HH,54
11030911.IV.GUMA..HH,55
11030911.IV.MC2..EH,57
11030911.IV.MMO1..EH,58
11030911.IV.T1215..EH,60
11030911.IV.T1219..EH,62
11030911.IV.T1245..HH,64
11030911.IV.T1256..HH,66
11031361.IV.ASSB..HH,68
11031361.IV.ATCC..EH,69
11031361.IV.CAMP..HH,70
11031361.IV.CESI..HH,71
11031361.IV.CSP1..EH,72
11031361.IV.FDMO..HH,73
11031361.IV.FIAM..HH,74
11031361.IV.GUMA..HH,76
11031361.IV.LNSS..HH,78
11031361.IV.MC2..EH,79
11031361.IV.MMO1..EH,80
11031361.IV.NRCA..HH,82
11031361.IV.OFFI..HH,84
11031361.IV.RM33..EH,85
11031361.IV.T0110..HH,88
11031361.IV.T1215..EH,89
11031361.IV.T1218..EH,91
11031361.IV.T1219..EH,93
11031361.IV.T1241..EH,95
11031361.IV.T1243..HH,97
11031361.IV.T1245..HH,99
11031361.IV.TERO..HH,101
11032751.XO.AM05..EH,103
11032751.IV.AOI..HH,105
11032751.MN.AQU..HH,106
11032751.IV.ARVD..HH,108
11032751.IV.ASQU..HH,109
11032751.IV.ATCC..EH,110
11032751.IV.ATFO..HH,112
11032751.IV.ATLO..EH,114
11032751.IV.ATMC..EH,116
11032751.IV.ATPC..HH,117
11032751.IV.ATSC..EH,119
11032751.IV.ATVA..EH,120
11032751.IV.ATVO..HH,121
11032751.IV.BADI..EH,123
11032751.IV.CAFI..HH,124
11032751.IV.CAMP..HH,126
11032751.IV.CERT..HH,127
11032751.IV.CESI..HH,128
11032751.IV.CESX..HH,129
11032751.IV.CING..HH,130
11032751.IV.CRE..HH,131
11032751.IV.CSP1..EH,132
11032751.IV.FAGN..HH,133
11032751.IV.FDMO..HH,134
11032751.IV.FIAM..HH,136
11032751.IV.FOSV..EH,139
11032751.IV.FRON..EH,141
11032751.IV.FSSB..HH,142
11032751.IV.GIGS..HH,144
11032751.IV.GUMA..HH,145
11032751.IV.INTR..HH,147
11032751.IV.LATB..EH,149
11032751.IV.LNSS..HH,150
11032751.IV.MC2..EH,151
11032751.IV.MCIV..HH,152
11032751.IV.MOMA..HH,156
11032751.IV.MPAG..EH,158
11032751.IV.MTCE..HH,160
11032751.IV.MURB..HH,162
11032751.IV.NRCA..HH,164
11032751.IV.OFFI..HH,166
11032751.IV.PE3..EH,167
11032751.IV.PIEI..HH,168
11032751.IV.PP3..EH,170
11032751.IV.RM33..EH,172
11032751.IV.SACS..HH,174
11032751.IV.SMA1..EH,177
11032751.IV.SNTG..HH,178
11032751.IV.SSFR..HH,180
11032751.IV.T0110..HH,183
11032751.IV.T1202..EH,185
11032751.IV.T1204..EH,186
