trace_name,indice_csv
11030611.IV.RM33..EH,3
11030611.IV.T1204..EH,14
11030611.IV.T1212..EH,17
11030611.IV.T1217..EH,25
11030611.IV.T1218..EH,27
11030611.IV.T1244..EH,39
11030611.IV.T1246..HH,43
11030611.IV.T1247..HH,44
11031361.IV.MC2..EH,79
11031361.IV.T1243..HH,97
11032751.IV.CAMP..HH,126
11032751.IV.CESI..HH,128
11032751.IV.GIGS..HH,144
11032751.IV.MC2..EH,151
11032751.IV.NRCA..HH,164
11032751.IV.T1212..EH,189
11032751.IV.T1213..EH,191
11032751.IV.T1215..EH,193
11032751.IV.T1216..EH,195
11032751.IV.T1217..EH,197
11032751.IV.T1219..EH,201
11032751.IV.T1221..EH,205
11032751.IV.T1243..HH,208
11032751.IV.T1245..HH,212
11032751.IV.T1246..HH,214
11032751.IV.TERO..HH,220
11032751.IV.VCEL..EH,223
1103291.IV.T0825..EH,238
11033161.IV.T1256..HH,263
11033871.IV.T1243..HH,275
11034421.IV.SMA1..EH,295
11035181.IV.CAMP..HH,300
11035181.IV.T1216..EH,306
11035181.IV.T1218..EH,308
11035491.IV.EL6..EH,317
11035491.IV.FOSV..EH,320
11035491.IV.MMO1..EH,324
11035491.IV.T1245..HH,334
11035491.IV.T1256..HH,336
11036421.IV.CSP1..EH,351
11036421.IV.MMO1..EH,371
11036421.IV.T1202..EH,393
11036421.IV.T1220..EH,409
11036421.IV.T1241..EH,413
11041511.IV.T1202..EH,499
11041921.XO.AM05..EH,534
11041921.MN.AQU..HH,539
11041921.IV.ARVD..HH,542
11041921.IV.ATCC..EH,543
11041921.IV.ATFO..HH,545
11041921.IV.ATLO..EH,547
11041921.IV.ATMC..EH,549
11041921.IV.ATPC..HH,551
11041921.IV.ATPI..EH,553
11041921.IV.ATSC..EH,554
11041921.IV.ATVA..EH,555
11041921.IV.ATVO..HH,556
11041921.IV.BADI..EH,558
11041921.IV.CAMP..HH,559
11041921.IV.COR1..EH,565
11041921.IV.EL6..EH,568
11041921.IV.FIAM..HH,571
11041921.IV.FOSV..EH,574
11041921.IV.FRON..EH,576
11041921.IV.FSSB..HH,577
11041921.IV.LNSS..HH,582
11041921.IV.MC2..EH,583
11041921.IV.MGAB..HH,585
11041921.IV.MPAG..EH,590
11041921.IV.MURB..HH,593
11041921.IV.NRCA..HH,595
11041921.IV.PE3..EH,599
11041921.IV.PIEI..HH,600
11041921.IV.SMA1..EH,609
11041921.IV.SNTG..HH,610
11041921.IV.SSFR..HH,612
11041921.IV.T1202..EH,616
11041921.IV.T1204..EH,617
11041921.IV.T1212..EH,618
11041921.IV.T1213..EH,620
11041921.IV.T1218..EH,628
11041921.IV.T1219..EH,630
11041921.IV.T1220..EH,632
11041921.IV.T1241..EH,636
11041921.IV.T1243..HH,638
11041921.IV.T1244..EH,640
11041921.IV.T1245..HH,642
11041921.IV.T1246..HH,644
11041921.IV.T1247..HH,645
11041921.IV.T1256..HH,646
11041921.IV.T1299..EH,648
11041921.IV.TERO..HH,650
11043661.IV.LNSS..HH,652
11043661.IV.MMO1..EH,654
11043661.IV.T1218..EH,658
11043661.IV.T1256..HH,664
11044641.OX.CLUD..HH,668
11044641.IV.FVI..HH,670
11044641.OX.ZOU2..HH,677
11047891.IV.T1245..HH,689
11048291.IV.SMA1..EH,778
11048461.IV.T1216..EH,897
11048461.IV.T1218..EH,901
11052061.IV.CESI..HH,935
11052061.IV.NRCA..HH,955
11052061.IV.SMA1..EH,964
11052061.IV.T1215..EH,976
11052061.IV.T1216..EH,978
11052191.IV.GIGS..HH,1004
11052191.IV.LNSS..HH,1005
11052191.IV.T1218..EH,1006
11052191.IV.T1247..HH,1010
11052631.IV.CESI..HH,1025
11052631.IV.NRCA..HH,1032
11052631.IV.T1218..EH,1040
11052631.IV.T1219..EH,1042
11053641.IV.NRCA..HH,1153
11054551.IV.T1219..EH,1194
11059921.IV.T1219..EH,1258
11061071.GU.CARD..HH,1267
11061071.IV.CSNT..HH,1272
11061071.IV.FROS..HH,1274
11061071.GU.MAIM..HH,1277
11061071.IV.OSSC..HH,1282
11061071.IV.PII..HH,1286
11062361.IV.GUMA..HH,1318
11062361.IV.MC2..EH,1321
11063111.IV.CAMP..HH,1385
11063111.IV.FDMO..HH,1388
11063111.IV.T1241..EH,1405
11063111.IV.T1243..HH,1406
11063111.IV.T1245..HH,1408
11067221.IV.T1245..HH,1507
11067221.IV.T1256..HH,1510
11069371.IV.ASSB..HH,1523
11069371.IV.ATCC..EH,1524
11069371.IV.NRCA..HH,1530
11069371.IV.SNTG..HH,1532
11069371.IV.T1216..EH,1535
11070401.IV.EL6..EH,1550
1107051.IV.PLAC..HH,1592
11071881.IV.T0110..HH,1677
11071881.IV.T1215..EH,1678
11071881.IV.T1247..HH,1687
11071881.IV.T1256..HH,1688
11072441.IV.LNSS..HH,1717
11072441.IV.RM33..EH,1720
11072441.IV.SMA1..EH,1722
11072441.IV.T1243..HH,1726
11072811.IV.FRON..EH,1737
