traccia,y_a_Mano,y_predict,delta
2010-01-30T01:23:45.000000Z.CRAC.EHZ,1,0.9981408,0.0018591880798339844
2010-01-30T01:23:45.000000Z.CUC.HHZ,0,0.0003794052,0.0003794051881413907
2010-01-30T01:23:45.000000Z.MGR.HHZ,0,0.0008683892,0.0008683892083354294
2010-01-30T01:23:45.000000Z.ORI.HHZ,0,0.0011656444,0.0011656443821266294
2010-01-30T01:23:45.000000Z.SALB.HHZ,0,0.00054866093,0.0005486609297804534
2010-01-30T01:23:45.000000Z.SCHR.EHZ,0,0.0006187907,0.0006187906838022172
2010-01-30T01:23:45.000000Z.SIRI.HHZ,0,0.0005482362,0.0005482361884787679
2010-04-09T14:39:44.000000Z.MMN.HHZ,0,0.00060005835,0.0006000583525747061
2010-04-09T14:39:45.000000Z.BULG.HHZ,1,0.9132246,0.08677542209625244
2010-04-09T14:39:45.000000Z.CMPR.HHZ,1,0.99647504,0.003524959087371826
2010-04-09T14:39:45.000000Z.CUC.HHZ,0,0.00037935472,0.0003793547220993787
2010-04-09T14:39:45.000000Z.MCEL.HHZ,0,0.008924192,0.008924191817641258
2010-04-09T14:39:45.000000Z.MGR.HHZ,0,0.00062233995,0.0006223399541340768
2010-04-09T14:39:45.000000Z.MTSN.HHZ,0,0.0005481272,0.0005481272237375379
2010-04-09T14:39:45.000000Z.SALB.HHZ,1,0.99892247,0.0010775327682495117
2010-05-21T10:29:02.000000Z.BULG.HHZ,0,0.0037200009,0.0037200008518993855
2010-05-21T10:29:02.000000Z.CMPR.HHZ,1,0.9975746,0.00242537260055542
2010-05-21T10:29:02.000000Z.CUC.HHZ,0,0.00057354505,0.0005735450540669262
2010-05-21T10:29:02.000000Z.MCEL.HHZ,1,0.9948984,0.005101621150970459
2010-05-21T10:29:02.000000Z.MMN.HHZ,0,0.0006194979,0.0006194979068823159
2010-05-21T10:29:02.000000Z.MTSN.HHZ,0,0.0005482623,0.000548262323718518
2010-05-21T10:29:02.000000Z.SALB.HHZ,1,0.9832155,0.016784489154815674
2010-05-21T10:29:02.000000Z.SIRI.HHZ,1,0.4238487,0.5761513113975525
2010-08-09T05:55:32.000000Z.MMN.HHZ,1,0.99924433,0.0007556676864624023
2010-08-09T05:55:32.000000Z.SALB.HHZ,1,0.99892175,0.0010782480239868164
2010-09-10T12:50:45.000000Z.MMN.HHZ,1,0.9843413,0.015658676624298096
2010-09-10T12:50:46.000000Z.CUC.HHZ,1,0.9991542,0.000845789909362793
2010-09-10T12:50:46.000000Z.MCEL.HHZ,1,0.9990237,0.0009763240814208984
2010-09-10T12:50:46.000000Z.MGR.HHZ,0,0.0005479953,0.0005479953251779079
2010-09-10T12:50:46.000000Z.MTSN.HHZ,1,0.014991424,0.9850085759535432
2010-09-10T12:50:46.000000Z.SALB.HHZ,0,0.0016789223,0.0016789223300293088
2010-09-10T12:50:46.000000Z.SIRI.HHZ,1,0.00037954375,0.9996204562485218
2010-09-25T18:48:53.000000Z.CUC.HHZ,1,0.9973471,0.002652883529663086
2010-09-25T18:48:53.000000Z.MCEL.HHZ,0,0.9980959,0.9980959296226501
2010-09-25T18:48:53.000000Z.MMN.HHZ,0,0.00089442,0.0008944200235418975
2010-09-25T18:48:53.000000Z.MTSN.HHZ,0,0.042889766,0.04288976639509201
2010-09-25T18:48:53.000000Z.ORI.HHZ,1,0.9988285,0.0011715292930603027
2010-09-25T18:48:53.000000Z.SALB.HHZ,1,0.99538225,0.004617750644683838
2010-09-25T18:48:53.000000Z.SIRI.HHZ,1,0.9979139,0.0020861029624938965
2010-10-06T17:43:09.000000Z.CUC.HHZ,1,0.9989209,0.0010790824890136719
2010-10-06T17:43:09.000000Z.MMN2.HHZ,0,0.0006188028,0.0006188027909956872
2010-10-06T17:43:09.000000Z.SALB.HHZ,1,0.99792224,0.002077758312225342
2010-10-07T04:07:28.000000Z.CUC.HHZ,1,0.99888486,0.0011151432991027832
2010-10-07T04:07:28.000000Z.MTSN.HHZ,0,0.0005727952,0.000572795222979039
2010-10-07T04:07:28.000000Z.SALB.HHZ,1,0.98637795,0.013622045516967773
2010-10-07T04:07:28.000000Z.SCHR.EHZ,0,0.017328491,0.017328491434454918
2010-10-07T04:07:28.000000Z.SIRI.HHZ,0,0.31565952,0.3156595230102539
2010-10-07T07:16:49.000000Z.CUC.HHZ,1,0.99265915,0.007340848445892334
2010-10-07T07:16:49.000000Z.SALB.HHZ,1,0.99361235,0.006387650966644287
2010-10-07T21:26:58.999000Z.CUC.HHZ,1,0.99707603,0.0029239654541015625
2010-10-07T21:26:58.999000Z.ORI.HHZ,1,0.99489516,0.00510483980178833
2010-10-07T21:26:59.000000Z.SALB.HHZ,1,0.9989219,0.0010781288146972656
2010-10-07T21:26:59.000000Z.SCHR.EHZ,0,0.0025265743,0.0025265743024647236
2010-10-07T21:26:59.000000Z.SLCN.HHZ,1,0.9430767,0.0569232702255249
2010-10-08T07:17:10.999000Z.CUC.HHZ,1,0.99808925,0.0019107460975646973
2010-10-08T07:17:11.000000Z.SALB.HHZ,1,0.9821529,0.017847120761871338
2010-10-08T07:17:11.000000Z.SIRI.HHZ,1,0.99834776,0.0016522407531738281
