traccia,y_a_Mano,y_predict,delta
2010-01-30T01:23:45.000000Z.CRAC.EHZ,1,0.9999999,1.1920928955078125e-07
2010-01-30T01:23:45.000000Z.CUC.HHZ,0,2.3231895e-08,2.32318946302712e-08
2010-01-30T01:23:45.000000Z.MGR.HHZ,0,3.9338204e-09,3.933820380552788e-09
2010-01-30T01:23:45.000000Z.ORI.HHZ,0,8.27837e-10,8.278370211556307e-10
2010-01-30T01:23:45.000000Z.SALB.HHZ,0,3.8308833e-08,3.830883343880487e-08
2010-01-30T01:23:45.000000Z.SCHR.EHZ,0,4.0529977e-07,4.05299772410217e-07
2010-01-30T01:23:45.000000Z.SIRI.HHZ,0,1.93311e-05,1.9331100702402182e-05
2010-04-09T14:39:44.000000Z.MMN.HHZ,0,1.9141918e-08,1.9141918272680414e-08
2010-04-09T14:39:45.000000Z.BULG.HHZ,1,0.9999999,1.1920928955078125e-07
2010-04-09T14:39:45.000000Z.CMPR.HHZ,1,0.99999714,2.86102294921875e-06
2010-04-09T14:39:45.000000Z.CUC.HHZ,0,2.4330233e-09,2.433023338355156e-09
2010-04-09T14:39:45.000000Z.MCEL.HHZ,0,1.9718627e-06,1.971862729988061e-06
2010-04-09T14:39:45.000000Z.MGR.HHZ,0,2.8035844e-08,2.8035843868678967e-08
2010-04-09T14:39:45.000000Z.MTSN.HHZ,0,1.636796e-06,1.6367960142815718e-06
2010-04-09T14:39:45.000000Z.SALB.HHZ,1,0.99999905,9.5367431640625e-07
2010-05-21T10:29:02.000000Z.BULG.HHZ,0,1.3590752e-08,1.3590751635206288e-08
2010-05-21T10:29:02.000000Z.CMPR.HHZ,1,0.9999995,4.76837158203125e-07
2010-05-21T10:29:02.000000Z.CUC.HHZ,0,4.8059114e-08,4.805911402172569e-08
2010-05-21T10:29:02.000000Z.MCEL.HHZ,1,0.9999994,5.960464477539062e-07
2010-05-21T10:29:02.000000Z.MMN.HHZ,0,1.6802788e-10,1.6802788327385798e-10
2010-05-21T10:29:02.000000Z.MTSN.HHZ,0,1.06961925e-05,1.0696192475734279e-05
2010-05-21T10:29:02.000000Z.SALB.HHZ,1,0.99999964,3.5762786865234375e-07
2010-05-21T10:29:02.000000Z.SIRI.HHZ,1,0.17826404,0.8217359632253647
2010-08-09T05:55:32.000000Z.MMN.HHZ,1,0.9999999,1.1920928955078125e-07
2010-08-09T05:55:32.000000Z.SALB.HHZ,1,0.999997,2.9802322387695312e-06
