traccia,y_Mano,y_predict,delta
2010-01-30T01:23:45.000000Z.CRAC.EHZ,1,0.99729484,0.0027051568031311035
2010-01-30T01:23:45.000000Z.CUC.HHZ,0,0.0029667953,0.0029667953494936228
2010-01-30T01:23:45.000000Z.MGR.HHZ,0,0.017660653,0.017660653218626976
2010-01-30T01:23:45.000000Z.ORI.HHZ,0,0.015478058,0.015478057786822319
2010-01-30T01:23:45.000000Z.SALB.HHZ,0,0.016624931,0.01662493124604225
2010-01-30T01:23:45.000000Z.SCHR.EHZ,0,0.008338668,0.008338668383657932
2010-01-30T01:23:45.000000Z.SIRI.HHZ,0,0.01173822,0.011738220229744911
2010-02-08T10:02:45.000000Z.BULG.HHZ,1,0.9951997,0.004800319671630859
2010-02-08T10:02:45.000000Z.CMPR.HHZ,0,0.0038041542,0.0038041542284190655
2010-02-08T10:02:45.000000Z.CUC.HHZ,1,0.9977285,0.0022714734077453613
2010-02-08T10:02:45.000000Z.MCEL.HHZ,1,0.9843577,0.015642285346984863
2010-02-08T10:02:45.000000Z.MGR.HHZ,1,0.994945,0.0050550103187561035
2010-02-08T10:02:45.000000Z.SIRI.HHZ,0,0.0069812313,0.006981231272220612
2010-02-27T05:42:42.000000Z.MMN.HHZ,1,0.99789196,0.0021080374717712402
2010-02-27T05:42:42.000000Z.SALB.HHZ,1,0.9963492,0.0036507844924926758
2010-03-25T17:29:59.000000Z.BULG.HHZ,0,0.0074652205,0.007465220522135496
2010-03-25T17:29:59.000000Z.CMPR.HHZ,1,0.9991203,0.0008797049522399902
2010-03-25T17:29:59.000000Z.CRAC.EHZ,1,0.8791973,0.12080270051956177
2010-03-25T17:29:59.000000Z.CUC.HHZ,1,0.9985796,0.0014203786849975586
2010-03-25T17:29:59.000000Z.MCEL.HHZ,0,0.0017031975,0.001703197485767305
2010-03-25T17:29:59.000000Z.MGR.HHZ,1,0.9688579,0.031142115592956543
2010-03-25T17:29:59.000000Z.MMN.HHZ,0,0.014771112,0.014771112240850925
2010-03-25T17:29:59.000000Z.MTSN.HHZ,0,0.0011451757,0.0011451756581664085
2010-03-25T17:29:59.000000Z.ORI.HHZ,1,0.99964774,0.0003522634506225586
2010-03-25T17:29:59.000000Z.SALB.HHZ,1,0.9988778,0.0011221766471862793
2010-03-25T17:29:59.000000Z.SCHR.EHZ,0,0.01253866,0.012538660317659378
2010-03-25T17:29:59.000000Z.SIRI.HHZ,1,0.99615896,0.0038410425186157227
2010-03-25T17:29:59.000000Z.TIP.HHZ,0,0.0014501901,0.0014501900877803564
2010-04-09T14:39:44.000000Z.MMN.HHZ,0,0.007710981,0.00771098118275404
2010-04-09T14:39:45.000000Z.BULG.HHZ,1,0.9549814,0.04501861333847046
2010-04-09T14:39:45.000000Z.CMPR.HHZ,1,0.9969626,0.003037393093109131
2010-04-09T14:39:45.000000Z.CUC.HHZ,0,0.0046820603,0.004682060331106186
2010-04-09T14:39:45.000000Z.MCEL.HHZ,0,0.051958527,0.05195852741599083
2010-04-09T14:39:45.000000Z.MGR.HHZ,0,0.01679999,0.016799990087747574
2010-04-09T14:39:45.000000Z.MTSN.HHZ,0,0.0109540485,0.010954048484563828
2010-04-09T14:39:45.000000Z.SALB.HHZ,1,0.9984484,0.0015516281127929688
2010-05-21T10:29:02.000000Z.BULG.HHZ,0,0.012532523,0.012532522901892662
2010-05-21T10:29:02.000000Z.CMPR.HHZ,1,0.98052365,0.019476354122161865
2010-05-21T10:29:02.000000Z.CUC.HHZ,0,0.0043201135,0.004320113454014063
2010-05-21T10:29:02.000000Z.MCEL.HHZ,1,0.990777,0.009222984313964844
2010-05-21T10:29:02.000000Z.MMN.HHZ,0,0.004858503,0.004858503118157387
2010-05-21T10:29:02.000000Z.MTSN.HHZ,0,0.013878827,0.01387882698327303
2010-05-21T10:29:02.000000Z.SALB.HHZ,1,0.99746203,0.002537965774536133
2010-05-21T10:29:02.000000Z.SIRI.HHZ,1,0.7058329,0.29416710138320923
2010-07-22T02:20:12.000000Z.CUC.HHZ,1,0.9445787,0.055421292781829834
2010-07-22T02:20:12.000000Z.MGR.HHZ,1,0.99694914,0.003050863742828369
