traccia_val,y_Mano_pol,y_pol_predict,delta_val
2010-01-30T01:23:45.000000Z.CRAC.EHZ,1,0.99559253,0.00440746545791626
2010-01-30T01:23:45.000000Z.CUC.HHZ,0,0.0022114716,0.002211471553891897
2010-01-30T01:23:45.000000Z.MGR.HHZ,0,0.012334781,0.012334780767560005
2010-01-30T01:23:45.000000Z.ORI.HHZ,0,0.0073171547,0.007317154668271542
2010-01-30T01:23:45.000000Z.SALB.HHZ,0,0.014238453,0.014238452538847923
2010-01-30T01:23:45.000000Z.SCHR.EHZ,0,0.0053313677,0.0053313677199184895
2010-01-30T01:23:45.000000Z.SIRI.HHZ,0,0.0074698715,0.007469871547073126
2010-02-08T10:02:45.000000Z.BULG.HHZ,1,0.9940905,0.0059095025062561035
2010-02-08T10:02:45.000000Z.CMPR.HHZ,0,0.0027986413,0.0027986413333564997
2010-02-08T10:02:45.000000Z.CUC.HHZ,1,0.9933542,0.006645798683166504
2010-02-08T10:02:45.000000Z.MCEL.HHZ,1,0.98800045,0.011999547481536865
2010-02-08T10:02:45.000000Z.MGR.HHZ,1,0.9902714,0.009728610515594482
2010-02-08T10:02:45.000000Z.SIRI.HHZ,0,0.004858035,0.0048580351285636425
2010-02-27T05:42:42.000000Z.MMN.HHZ,1,0.99387485,0.006125152111053467
2010-02-27T05:42:42.000000Z.SALB.HHZ,1,0.99355364,0.006446361541748047
2010-03-25T17:29:59.000000Z.BULG.HHZ,0,0.0047653997,0.004765399731695652
2010-03-25T17:29:59.000000Z.CMPR.HHZ,1,0.99835455,0.0016454458236694336
2010-03-25T17:29:59.000000Z.CRAC.EHZ,1,0.7779322,0.22206777334213257
2010-03-25T17:29:59.000000Z.CUC.HHZ,1,0.9980215,0.0019785165786743164
2010-03-25T17:29:59.000000Z.MCEL.HHZ,0,0.0010046379,0.0010046379175037146
2010-03-25T17:29:59.000000Z.MGR.HHZ,1,0.9948238,0.005176186561584473
2010-03-25T17:29:59.000000Z.MMN.HHZ,0,0.013078754,0.013078753836452961
2010-03-25T17:29:59.000000Z.MTSN.HHZ,0,0.0004711014,0.0004711014044005424
