traccia,y_Mano,y_predict,delta
10264001.IV.RM33..EH,0,0.99993587,0.9999358654022217
10566061.IV.T1211..EH,0,0.75971025,0.7597102522850037
11879971.IV.T1219..EH,0,0.9489371,0.9489371180534363
12748841.IV.T1215..EH,0,0.9961027,0.9961026906967163
13272231.OX.FUSE..HH,0,0.95731,0.9573100209236145
14032241.IV.T1218..EH,0,0.9533402,0.9533401727676392
16838451.IV.T1214..EH,0,0.9972676,0.9972676038742065
1741971.IV.VVLD..HH,0,0.99418795,0.9941879510879517
1760019.MN.CEL..HH,0,0.9999255,0.9999254941940308
1811329.IV.MTRZ..HH,0,0.9999995,0.9999995231628418
1834549.IV.CARO..HH,0,0.99998605,0.9999860525131226
18349171.IV.MPNC..HH,0,0.99048644,0.9904864430427551
18368991.IV.BADI..EH,0,0.9992718,0.999271810054779
1913149.IV.FAGN..HH,0,0.9124101,0.9124100804328918
2396429.GU.MAIM..HH,0,0.9999783,0.9999783039093018
2854801.IV.MPAZ..HH,0,0.9979601,0.997960090637207
2874261.IV.MODR..HH,0,0.99995935,0.9999593496322632
3137211.RF.GEPF..HH,0,0.9997583,0.9997583031654358
3479191.IV.GIUL..HH,0,0.81700003,0.8170000314712524
4410901.IV.MURB..HH,0,0.99878067,0.9987806677818298
4437931.IV.LNSS..HH,0,0.9995437,0.9995437264442444
7503751.IV.T1214..EH,0,0.99990594,0.9999059438705444
8257661.IV.IVPL..HH,0,0.06496593,0.06496593356132507
8420351.IV.SRES..HH,0,0.9821472,0.982147216796875
9311241.IV.T1243..HH,0,0.9969433,0.9969432950019836
