traccia,y_Mano,y_predict,delta
10000641.IV.CAFI..HH,0,0.5819013,0.5819013118743896
10021261.IV.ATVO..HH,0,0.99136996,0.9913699626922607
10033551.IV.MPAG..EH,0,0.97184145,0.9718414545059204
10034861.IV.FDMO..HH,0,0.976313,0.9763129949569702
10037611.IV.NRCA..HH,0,0.99931335,0.9993133544921875
1004351.MN.VLC..HH,0,0.918464,0.9184640049934387
10102161.IV.T1245..HH,0,0.72033304,0.7203330397605896
1013211.IV.NRCA..HH,0,0.9993625,0.9993625283241272
10173631.IV.T1245..HH,0,0.9973122,0.9973121881484985
10187731.IV.T1215..EH,0,0.7570879,0.7570878863334656
10262621.IV.MMO1..EH,0,0.99986196,0.9998619556427002
10264001.IV.T1241..EH,0,0.9984987,0.9984986782073975
10326401.IV.PIEI..HH,0,0.05660537,0.056605368852615356
10352931.IV.MMO1..EH,0,0.68009263,0.6800926327705383
10677951.IV.T1256..HH,0,0.51086044,0.5108604431152344
10731581.IV.NRCA..HH,0,0.77642524,0.7764252424240112
10737031.IV.MMO1..EH,0,0.67740446,0.6774044632911682
10798531.IV.T1245..HH,0,0.9802725,0.9802724719047546
10891551.IV.TERO..HH,0,0.54982615,0.5498261451721191
11012831.IV.T1246..HH,0,0.9429639,0.9429638981819153
11036421.IV.CSP1..EH,0,0.9997216,0.9997215867042542
11125821.IV.T1245..HH,0,0.99921036,0.9992103576660156
11272551.IV.MMO1..EH,0,0.9998267,0.9998267292976379
11276881.IV.T1299..EH,0,0.13498908,0.13498908281326294
11657671.IV.NRCA..HH,0,0.40657714,0.40657714009284973
12394941.IV.T1220..EH,0,0.99290836,0.9929083585739136
12402491.IV.T1247..HH,0,0.28877527,0.2887752652168274
12413041.IV.T1299..EH,0,0.9266115,0.9266114830970764
12757261.IV.GIGS..HH,0,0.9454714,0.9454714059829712
12762281.IV.CAMP..HH,0,0.943689,0.9436889886856079
12803761.IV.SMA1..EH,0,0.97426695,0.9742669463157654
12817211.IV.T1220..EH,0,0.8387338,0.8387337923049927
12847701.IV.T1218..EH,0,0.13910927,0.139109268784523
12914971.IV.T1204..EH,0,0.90632826,0.9063282608985901
13252131.IV.T1216..EH,0,0.5560817,0.5560817122459412
13312711.IV.T1241..EH,0,0.98692364,0.9869236350059509
13314821.IV.CESX..HH,0,0.9999746,0.9999746084213257
13497801.IV.VVLD..HH,0,0.8946237,0.8946236968040466
13526511.IV.GUAR..HH,0,0.08995924,0.08995924144983292
13738761.IV.T1211..EH,0,0.99998903,0.9999890327453613
13981351.IV.MMO1..EH,0,0.9914894,0.9914894104003906
13998181.IV.T1241..EH,0,0.9995759,0.9995759129524231
14062381.IV.ISTR..HH,0,0.31538412,0.3153841197490692
14205471.IV.T1212..EH,0,0.9534962,0.9534962177276611
14732951.IV.ARRO..EH,0,0.9995034,0.9995033740997314
14739981.IV.T1214..EH,0,0.33759207,0.33759206533432007
14847981.IV.T0110..HH,0,0.8911577,0.8911576867103577
14997721.IV.T1299..EH,0,0.22539827,0.22539827227592468
15012341.IV.T1212..EH,0,0.99657166,0.9965716600418091
15324121.IV.ASSB..HH,0,0.9294059,0.929405927658081
