traccia,y_Mano,y_predict,delta
10021501.IV.ATPC..HH,1,0.00045069263,0.9995493073656689
10038641.IV.NRCA..HH,1,0.0029840528,0.9970159472431988
10043951.IV.CESX..HH,1,0.59934705,0.4006529450416565
10044111.IV.EL6..EH,1,0.88654953,0.11345046758651733
10045081.IV.T1216..EH,1,0.7914105,0.20858949422836304
10052771.IV.T1212..EH,1,8.410866e-05,0.9999158913415158
10071471.IV.T1217..EH,1,0.1876834,0.8123165965080261
10077401.IV.PIEI..HH,1,0.0031694483,0.9968305516522378
10077401.IV.SSFR..HH,1,0.008038961,0.9919610386714339
10119561.IV.T1221..EH,1,0.9734524,0.026547610759735107
10126201.IV.T1221..EH,1,0.46240035,0.5375996530056
10164481.IV.T1215..EH,1,0.607662,0.39233797788619995
10308131.IV.MMO1..EH,1,2.58241e-05,0.9999741759002063
10491321.IV.LNSS..HH,1,0.5104191,0.4895809292793274
10543011.IV.NRCA..HH,1,0.4315077,0.5684922933578491
10828361.IV.T1216..EH,1,0.20871308,0.7912869155406952
11016341.GU.CIRO..HH,1,0.88265085,0.11734914779663086
11111951.IV.NRCA..HH,1,0.0033916186,0.9966083813924342
11129801.IV.CAFI..HH,1,6.143799e-06,0.9999938562009447
11212081.IV.LNSS..HH,1,0.017671205,0.9823287948966026
11212081.IV.T1218..EH,1,0.00014745932,0.9998525406845147
11272321.IV.ATFO..HH,1,1.16393e-05,0.9999883606997173
11294301.IV.T1299..EH,1,0.00011383958,0.9998861604181002
11465391.IV.T1243..HH,1,0.99192035,0.0080796480178833
11990041.IV.T1212..EH,1,0.98389566,0.01610434055328369
12234151.IV.NRCA..HH,1,0.029826198,0.9701738022267818
12234151.IV.T1218..EH,1,0.014664998,0.9853350017219782
12234151.IV.T1241..EH,1,0.00022279374,0.9997772062633885
12234151.IV.T1244..EH,1,0.071247235,0.9287527650594711
12269741.IV.T1215..EH,1,0.9796546,0.02034538984298706
12347451.IV.ATPI..EH,1,0.00018967366,0.9998103263351368
12630881.IV.RM33..EH,1,0.06297013,0.9370298683643341
12672631.IV.T1212..EH,1,0.0011429938,0.9988570061977953
12674061.IV.T1202..EH,1,0.006485049,0.9935149508528411
12756221.IV.ARRO..EH,1,0.00028714794,0.9997128520626575
12758761.IV.T1202..EH,1,0.36907274,0.6309272646903992
1298801.IV.MPAZ..HH,1,0.0017032826,0.9982967174146324
13340791.IV.T1219..EH,1,0.00229643,0.9977035699412227
13383881.IV.T1247..HH,1,0.47223708,0.5277629196643829
13387351.NI.POLC..HH,1,0.008226557,0.9917734432965517
1342011.IV.IVPL..HH,1,0.2513052,0.7486948072910309
13431341.IV.TERO..HH,1,0.99483806,0.005161941051483154
13451831.IV.GUMA..HH,1,0.00048154368,0.9995184563158546
13636761.IV.T1215..EH,1,0.87262917,0.12737083435058594
13662751.IV.SMA1..EH,1,0.9202372,0.07976281642913818
13750891.IV.ARVD..HH,1,2.8734641e-05,0.9999712653589086
13750891.IV.ATPI..EH,1,0.000565767,0.9994342330028303
13750891.IV.ATTE..HH,1,4.643807e-05,0.9999535619317612
13750891.IV.T1241..EH,1,0.002792075,0.9972079249564558
13750891.IV.T1299..EH,1,0.18787661,0.8121233880519867
13752571.IV.CAMP..HH,1,0.22955902,0.7704409807920456
13752571.IV.T1212..EH,1,0.012654417,0.9873455828055739
13752571.IV.T1217..EH,1,0.73479134,0.2652086615562439
13752571.IV.T1218..EH,1,0.070135236,0.929864764213562
1397411.IV.MPNC..HH,1,0.9689088,0.03109121322631836
14073831.IV.T1218..EH,1,0.05732902,0.9426709786057472
14088541.IV.TEOL..HH,1,0.059058066,0.94094193354249
14169541.IV.T1217..EH,1,0.99006593,0.009934067726135254
14193071.IV.SMA1..EH,1,0.7768481,0.22315192222595215
14360101.IV.MC2..EH,1,0.44036704,0.5596329569816589
14523571.IV.T1214..EH,1,9.4467934e-05,0.9999055320658954
14757721.IV.T1214..EH,1,0.34487146,0.655128538608551
14759921.IV.ATPI..EH,1,3.41082e-06,0.9999965891800002
14759921.IV.EL6..EH,1,0.0022256803,0.9977743197232485
14759921.IV.SSFR..HH,1,0.026873298,0.9731267020106316
15064481.IV.T0110..HH,1,3.656125e-05,0.9999634387495462
15064481.IV.T1213..EH,1,0.045879163,0.9541208371520042
15064481.IV.T1218..EH,1,0.012526168,0.9874738324433565
15287901.IV.NRCA..HH,1,0.00010957616,0.9998904238382238
15289181.GU.RSP..HH,1,0.004685842,0.9953141580335796
1530211.IV.ATPI..EH,1,0.97668004,0.02331995964050293
15354811.IV.MC2..EH,1,0.99857724,0.0014227628707885742
15361061.IV.T1219..EH,1,0.647324,0.3526759743690491
15475331.IV.CSP1..EH,1,0.9337286,0.06627142429351807
15557841.IV.T1214..EH,1,0.00055549876,0.9994445012416691
15583881.IV.USI..HH,1,0.00024643575,0.9997535642469302
15585791.IV.T1216..EH,1,0.0060399654,0.9939600345678627
15586991.IV.CAMP..HH,1,0.0013671278,0.9986328722443432
15853531.IV.NOV..HH,1,0.00017667285,0.999823327147169
15879671.IV.PLAC..HH,1,3.915406e-05,0.9999608459402225
1601871.IV.NRCA..HH,1,0.0018230199,0.9981769800651819
1610329.IV.MURB..HH,1,0.036326822,0.9636731781065464
1611469.MN.CEL..HH,1,0.021287942,0.9787120576947927
16116801.IV.T1216..EH,1,0.9149849,0.08501511812210083
16120531.IV.T1219..EH,1,0.02224498,0.977755019441247
16122511.IV.MC2..EH,1,4.760482e-05,0.9999523951810261
16211551.IV.T1299..EH,1,0.0022352196,0.9977647804189473
1627199.IV.VULT..HH,1,6.3816966e-05,0.9999361830341513
1639119.IV.PESA..EH,1,0.00019107772,0.999808922279044
16415301.IV.T1214..EH,1,0.024985738,0.9750142619013786
16424091.IV.ROVR..HH,1,0.0008216864,0.9991783135919832
16424091.IV.SALO..HH,1,0.027331807,0.9726681932806969
1644829.MN.AQU..HH,1,0.00015521486,0.9998447851394303
1645389.IV.FAGN..EH,1,0.014147637,0.985852362588048
16550661.IV.MMO1..EH,1,0.6185141,0.38148587942123413
16631311.IV.CSP1..EH,1,9.939024e-05,0.9999006097568781
1665259.MN.CEL..HH,1,0.0028393879,0.9971606121398509
16803451.IV.BSSO..HH,1,0.0055512493,0.9944487507455051
1683759.IV.CAFE..HH,1,5.4897614e-06,0.9999945102385936
1684959.IV.TERO..HH,1,0.013807203,0.9861927973106503
17025201.IV.SMA1..EH,1,0.4874837,0.5125162899494171
1720771.IV.MCIV..HH,1,0.8972876,0.10271239280700684
17264811.IV.RIBO..EH,1,0.0006110677,0.9993889323086478
17436871.MN.VLC..HH,1,0.0035852203,0.9964147796854377
17450371.IV.MMO1..EH,1,0.000116141295,0.9998838587052887
17450371.IV.NRCA..HH,1,0.03739511,0.9626048915088177
17602431.IV.ATCC..EH,1,0.0029071055,0.9970928945112973
17602431.IV.CESI..HH,1,4.3737e-05,0.9999562630000582
17602431.IV.EL6..EH,1,0.00023300675,0.999766993249068
17602431.IV.MC2..EH,1,0.068691164,0.9313088357448578
17605601.IV.NRCA..HH,1,0.8480741,0.1519259214401245
