traccia,y_Mano,y_predict,delta
10028411.IV.SSFR..HH,1,0.05446563,0.9455343708395958
10055371.IV.T1243..HH,1,0.0007354957,0.9992645042948425
10126201.IV.RM33..EH,1,0.998909,0.00109100341796875
11288691.IV.MURB..HH,1,0.00038126574,0.9996187342621852
11953221.IV.T1218..EH,1,0.0010102532,0.998989746789448
12657811.IV.NRCA..HH,1,0.96619195,0.03380805253982544
12681391.IV.CSP1..EH,1,0.97537804,0.024621963500976562
12756221.IV.T1220..EH,1,0.88659567,0.11340433359146118
13242371.IV.T1219..EH,1,0.00030305516,0.9996969448402524
13334421.IV.T1244..EH,1,0.57384384,0.4261561632156372
14044781.IV.SNTG..HH,1,0.3003438,0.6996561884880066
14407621.IV.T1214..EH,1,0.0009069364,0.9990930635831319
15586991.IV.T1299..EH,1,0.003960558,0.9960394417867064
1609859.IV.SNAL..HH,1,1.272548e-05,0.9999872745202083
1640929.IV.SERS..HH,1,0.016363274,0.9836367256939411
16629771.IV.FDMO..HH,1,4.913828e-05,0.9999508617183892
17259661.IV.GIGS..HH,1,0.29968727,0.7003127336502075
17436871.IV.PII..HH,1,0.0063388376,0.993661162443459
17959581.IV.SMA1..EH,1,0.20907664,0.7909233570098877
1838161.IV.BADI..EH,1,0.0060040536,0.9939959463663399
18716291.IV.SGRT..HH,1,0.00016464197,0.9998353580303956
1911099.IV.INTR..HH,1,0.03391692,0.9660830795764923
1917989.IV.NRCA..HH,1,0.00015931304,0.9998406869563041
20266131.IV.ATVO..HH,1,0.011566383,0.9884336171671748
20469751.GU.LSD..HH,1,0.3792668,0.6207332015037537
2135759.IV.MILZ..HH,1,0.0017439347,0.9982560653006658
2145919.IV.TERO..HH,1,0.0018244245,0.998175575514324
2151499.IV.T0401..EH,1,0.0003889969,0.9996110030915588
2603301.IV.LNSS..HH,1,0.0031717676,0.9968282324261963
2641371.IV.NRCA..HH,1,7.286087e-05,0.9999271391279763
2641591.IV.ATFO..HH,1,0.013639837,0.9863601634278893
3723221.IV.FDMO..HH,1,0.9689238,0.03107619285583496
4032701.IV.PIEI..HH,1,0.7211109,0.27888911962509155
4379591.IV.BDI..HH,1,0.94206285,0.0579371452331543
5050181.IV.HLNI..HH,1,0.0015396051,0.9984603949123994
5661671.IV.MSCL..HH,1,0.8602213,0.13977867364883423
6372651.IV.GUMA..HH,1,0.00032976802,0.9996702319767792
6835901.IV.MRGE..HH,1,0.06823419,0.9317658096551895
7243281.IV.T1204..EH,1,0.000851048,0.9991489520180039
7251391.IV.LNSS..HH,1,9.709717e-06,0.9999902902827671
7318921.IV.T1244..EH,1,0.0064867027,0.9935132972896099
7690661.IV.T1215..EH,1,0.015794544,0.9842054564505816
8157311.IV.CESI..HH,1,0.945305,0.0546950101852417
8248171.IV.T1204..EH,1,0.27703837,0.7229616343975067
8315581.IV.T1244..EH,1,0.8730126,0.12698739767074585
8538851.IV.CAMP..HH,1,0.9575583,0.042441725730895996
9277711.IV.CING..HH,1,0.006506282,0.9934937180951238
9787761.IV.T1219..EH,1,8.468771e-05,0.999915312291705
9908631.IV.T1219..EH,1,0.005961586,0.9940384142100811
