traccia,y_Mano,y_predict,delta
trace_0,0,0.0018754534,0.001875453395769
trace_1,1,0.058372714,0.9416272863745689
trace_2,0,0.0029432548,0.0029432547744363546
trace_3,1,0.984074,0.015926003456115723
trace_4,1,0.9969458,0.003054201602935791
trace_5,0,0.006482104,0.00648210383951664
trace_6,1,0.9982792,0.0017207860946655273
trace_7,0,0.4347594,0.4347594082355499
trace_8,1,0.9989396,0.0010604262351989746
trace_9,0,0.0020804321,0.002080432139337063
trace_10,1,0.16598722,0.8340127766132355
trace_11,1,0.99699175,0.003008246421813965
trace_12,0,0.3089244,0.3089244067668915
trace_13,0,0.0068319095,0.006831909529864788
trace_14,1,0.99684036,0.003159642219543457
trace_15,0,0.0033333818,0.0033333818428218365
trace_16,0,0.013597901,0.013597900979220867
trace_17,1,0.98769486,0.012305140495300293
trace_18,1,0.9802405,0.01975947618484497
trace_19,1,0.9868651,0.013134896755218506
trace_20,0,0.0020297407,0.0020297407172620296
trace_21,1,0.990132,0.009868025779724121
trace_22,1,0.14073999,0.8592600077390671
trace_23,1,0.9931872,0.0068128108978271484
trace_24,1,0.99860495,0.0013950467109680176
trace_25,0,0.23279738,0.23279738426208496
trace_26,0,0.015390502,0.015390502288937569
trace_27,0,0.0018298954,0.0018298954237252474
trace_28,1,0.98869586,0.011304140090942383
trace_29,0,0.020996297,0.020996296778321266
trace_30,0,0.021167992,0.021167991682887077
trace_31,1,0.9873563,0.012643694877624512
trace_32,0,0.009108832,0.009108832105994225
trace_33,1,0.99768484,0.0023151636123657227
trace_34,0,0.0015367827,0.0015367827145382762
trace_35,1,0.9986971,0.0013028979301452637
trace_36,0,0.050494906,0.050494905561208725
trace_37,0,0.05255616,0.05255616083741188
trace_38,0,0.012548978,0.012548978440463543
trace_39,1,0.0053046364,0.9946953635662794
trace_40,1,0.9960322,0.0039678215980529785
trace_41,0,0.004883797,0.0048837969079613686
trace_42,1,0.9976126,0.002387404441833496
trace_43,1,0.9987562,0.0012438297271728516
trace_44,1,0.9928469,0.0071530938148498535
trace_45,1,0.7026384,0.2973616123199463
trace_46,1,0.99155056,0.008449435234069824
trace_47,1,0.9946063,0.005393683910369873
trace_48,1,0.9979201,0.002079904079437256
trace_49,1,0.9891732,0.010826826095581055
trace_50,1,0.9954661,0.004533886909484863
trace_51,0,0.034613077,0.034613076597452164
trace_52,0,0.0014558737,0.001455873716622591
trace_53,0,0.0016822768,0.001682276837527752
trace_54,0,0.019034177,0.01903417706489563
trace_55,1,0.99530005,0.0046999454498291016
trace_56,1,0.9974535,0.0025464892387390137
trace_57,1,0.9971552,0.0028448104858398438
trace_58,1,0.9557043,0.04429572820663452
trace_59,1,0.99899834,0.0010016560554504395
