traccia,y_Mano,y_predict,delta
trace_0,0,0.0039902003,0.003990200348198414
trace_1,1,0.13488545,0.8651145547628403
trace_2,0,0.0023683356,0.002368335612118244
trace_3,1,0.98769426,0.012305736541748047
trace_4,1,0.99839693,0.0016030669212341309
trace_5,0,0.004993824,0.0049938238225877285
trace_6,1,0.999286,0.0007140040397644043
trace_7,0,0.41856655,0.4185665547847748
trace_8,1,0.99882346,0.0011765360832214355
trace_9,0,0.001297788,0.0012977879960089922
trace_10,1,0.35243723,0.6475627720355988
trace_11,1,0.99943644,0.0005635619163513184
trace_12,0,0.37233126,0.37233126163482666
trace_13,0,0.007248843,0.007248843088746071
trace_14,1,0.99785787,0.0021421313285827637
trace_15,0,0.006851713,0.006851713173091412
trace_16,0,0.02941483,0.02941483072936535
trace_17,1,0.9935108,0.006489217281341553
trace_18,1,0.9937304,0.006269574165344238
trace_19,1,0.9938626,0.006137371063232422
trace_20,0,0.0035935105,0.0035935104824602604
trace_21,1,0.9840814,0.015918612480163574
trace_22,1,0.0886345,0.9113655015826225
trace_23,1,0.99585515,0.004144847393035889
trace_24,1,0.99953043,0.00046956539154052734
trace_25,0,0.19504663,0.19504663348197937
trace_26,0,0.009673235,0.00967323500663042
trace_27,0,0.002724862,0.0027248619589954615
trace_28,1,0.9865775,0.013422489166259766
trace_29,0,0.022458639,0.02245863899588585
trace_30,0,0.017090987,0.017090987414121628
trace_31,1,0.9839392,0.016060829162597656
trace_32,0,0.0058625196,0.005862519610673189
trace_33,1,0.9984219,0.0015780925750732422
trace_34,0,0.00071654987,0.0007165498682297766
trace_35,1,0.9993789,0.0006210803985595703
trace_36,0,0.03796711,0.03796710819005966
trace_37,0,0.092107624,0.0921076238155365
trace_38,0,0.010681103,0.010681102983653545
trace_39,1,0.0060951,0.9939048998057842
trace_40,1,0.9957841,0.004215896129608154
trace_41,0,0.0034370846,0.00343708461150527
trace_42,1,0.9989863,0.0010136961936950684
trace_43,1,0.99738723,0.002612769603729248
trace_44,1,0.99439514,0.005604863166809082
trace_45,1,0.53024507,0.4697549343109131
trace_46,1,0.9929892,0.007010817527770996
trace_47,1,0.9983374,0.001662611961364746
trace_48,1,0.9982895,0.0017104744911193848
trace_49,1,0.9912408,0.00875920057296753
trace_50,1,0.99494547,0.0050545334815979
trace_51,0,0.030900326,0.030900325626134872
trace_52,0,0.0012946319,0.0012946318602189422
trace_53,0,0.0019465664,0.0019465663935989141
trace_54,0,0.01791737,0.017917370423674583
trace_55,1,0.9971424,0.0028576254844665527
trace_56,1,0.99853337,0.0014666318893432617
trace_57,1,0.9972861,0.002713918685913086
trace_58,1,0.9477938,0.052206218242645264
trace_59,1,0.9983485,0.0016515254974365234
trace_60,1,0.998221,0.001779019832611084
trace_61,1,0.9971289,0.002871096134185791
trace_62,1,0.99868435,0.0013156533241271973
trace_63,1,0.9942293,0.005770683288574219
trace_64,1,0.99611676,0.0038832426071166992
trace_65,0,0.03618017,0.03618016839027405
trace_66,0,0.0010879408,0.001087940763682127
trace_67,1,0.9923382,0.0076618194580078125
trace_68,1,0.99954116,0.00045883655548095703
trace_69,1,0.9296173,0.07038271427154541
trace_70,1,0.90089846,0.09910154342651367
trace_71,0,0.003775254,0.0037752538919448853
trace_72,1,0.9960127,0.003987312316894531
trace_73,1,0.02667841,0.9733215905725956
trace_74,1,0.9980971,0.0019028782844543457
trace_75,1,0.9933169,0.0066831111907958984
trace_76,0,0.0074294237,0.007429423741996288
trace_77,0,0.013191475,0.013191474601626396
trace_78,1,0.004286459,0.9957135408185422
trace_79,0,0.07832882,0.07832881808280945
trace_80,1,0.98719984,0.012800157070159912
trace_81,1,0.9988595,0.0011404752731323242
trace_82,0,0.0018532639,0.0018532639369368553
