traccia,y_Mano,y_predict,delta
trace_0,0,0.0050839256,0.005083925556391478
trace_1,1,0.022060666,0.9779393337666988
trace_2,0,0.006220517,0.006220517214387655
trace_3,1,0.97363776,0.026362240314483643
trace_4,1,0.9951816,0.004818379878997803
trace_5,0,0.017288782,0.017288781702518463
trace_6,1,0.9968369,0.0031630992889404297
trace_7,0,0.115173124,0.11517312377691269
trace_8,1,0.9975867,0.0024132728576660156
trace_9,0,0.0030745482,0.0030745482072234154
trace_10,1,0.18462636,0.8153736442327499
trace_11,1,0.99630225,0.0036977529525756836
trace_12,0,0.3736286,0.3736285865306854
trace_13,0,0.016615462,0.01661546155810356
trace_14,1,0.99271494,0.007285058498382568
trace_15,0,0.0054631773,0.005463177338242531
trace_16,0,0.039228395,0.039228394627571106
trace_17,1,0.98375493,0.01624506711959839
trace_18,1,0.98876333,0.01123666763305664
trace_19,1,0.9860831,0.01391690969467163
trace_20,0,0.004389591,0.004389591049402952
trace_21,1,0.9722288,0.027771174907684326
trace_22,1,0.133768,0.8662319928407669
trace_23,1,0.99317545,0.0068245530128479
trace_24,1,0.9978175,0.002182483673095703
trace_25,0,0.28950498,0.2895049750804901
trace_26,0,0.013762396,0.013762395828962326
trace_27,0,0.0037797506,0.0037797505501657724
trace_28,1,0.98800117,0.01199883222579956
trace_29,0,0.012928351,0.012928350828588009
trace_30,0,0.028984863,0.028984863311052322
trace_31,1,0.98879296,0.011207044124603271
trace_32,0,0.010216584,0.01021658442914486
trace_33,1,0.9958572,0.004142820835113525
trace_34,0,0.0030291695,0.003029169514775276
trace_35,1,0.9970546,0.002945423126220703
trace_36,0,0.018752182,0.01875218190252781
trace_37,0,0.05337286,0.053372859954833984
trace_38,0,0.046615858,0.046615857630968094
trace_39,1,0.0048281844,0.9951718156225979
trace_40,1,0.9946038,0.0053961873054504395
trace_41,0,0.004992902,0.004992901813238859
trace_42,1,0.99494463,0.005055367946624756
trace_43,1,0.9961046,0.003895401954650879
trace_44,1,0.9918994,0.008100628852844238
trace_45,1,0.4713128,0.5286872088909149
trace_46,1,0.990418,0.009581983089447021
trace_47,1,0.99500376,0.004996240139007568
trace_48,1,0.99238914,0.0076108574867248535
trace_49,1,0.9887312,0.011268794536590576
trace_50,1,0.9945614,0.005438625812530518
trace_51,0,0.019199662,0.019199661910533905
trace_52,0,0.0036739681,0.0036739681381732225
trace_53,0,0.003931568,0.003931568004190922
trace_54,0,0.02452979,0.02452979050576687
trace_55,1,0.9925774,0.00742262601852417
trace_56,1,0.99728096,0.0027190446853637695
trace_57,1,0.99037105,0.00962895154953003
trace_58,1,0.97705734,0.022942662239074707
trace_59,1,0.9958305,0.0041695237159729
trace_60,1,0.9968028,0.003197193145751953
trace_61,1,0.9979017,0.0020983219146728516
trace_62,1,0.99708706,0.0029129385948181152
trace_63,1,0.99415165,0.005848348140716553
trace_64,1,0.9843576,0.015642404556274414
trace_65,0,0.038174354,0.038174353539943695
trace_66,0,0.003284431,0.0032844310626387596
trace_67,1,0.99276453,0.007235467433929443
trace_68,1,0.9979532,0.002046823501586914
trace_69,1,0.952832,0.04716801643371582
trace_70,1,0.8474653,0.15253472328186035
trace_71,0,0.004975969,0.004975968971848488
trace_72,1,0.9780335,0.021966516971588135
trace_73,1,0.3566226,0.6433773934841156
trace_74,1,0.99605846,0.003941535949707031
trace_75,1,0.983309,0.01669102907180786
trace_76,0,0.00469179,0.004691789858043194
trace_77,0,0.016955042,0.016955042257905006
trace_78,1,0.004100903,0.9958990970626473
trace_79,0,0.06629362,0.0662936195731163
trace_80,1,0.98674285,0.013257145881652832
trace_81,1,0.99727255,0.0027274489402770996
trace_82,0,0.0029412713,0.0029412712901830673
trace_83,1,0.9976882,0.0023118257522583008
trace_84,0,0.022745654,0.022745653986930847
trace_85,1,0.9822849,0.017715096473693848
trace_86,1,0.99628985,0.003710150718688965
trace_87,1,0.99600816,0.003991842269897461
trace_88,1,0.9920725,0.007927477359771729
trace_89,1,0.9875964,0.012403607368469238
trace_90,1,0.9751388,0.02486121654510498
trace_91,1,0.83744776,0.16255223751068115
trace_92,1,0.99363303,0.0063669681549072266
trace_93,0,0.9438682,0.9438682198524475
trace_94,1,0.99405956,0.005940437316894531
trace_95,0,0.0111648785,0.011164878495037556
trace_96,1,0.99401313,0.0059868693351745605
trace_97,1,0.99572104,0.004278957843780518
trace_98,1,0.9972416,0.0027583837509155273
trace_99,1,0.9856366,0.014363408088684082
trace_100,0,0.2467627,0.2467626929283142
trace_101,1,0.99242145,0.007578551769256592
trace_102,0,0.004538048,0.004538048058748245
trace_103,0,0.16005214,0.1600521355867386
trace_104,1,0.9951756,0.004824399948120117
trace_105,1,0.99738854,0.0026114583015441895
trace_106,1,0.98382694,0.016173064708709717
trace_107,0,0.06894794,0.0689479410648346
trace_108,1,0.9980338,0.0019661784172058105
trace_109,1,0.9921898,0.00781017541885376
trace_110,0,0.016840864,0.016840863972902298
trace_111,0,0.38660914,0.38660913705825806
trace_112,1,0.9957612,0.004238784313201904
trace_113,1,0.98781466,0.012185335159301758
trace_114,0,0.04800841,0.04800840839743614
trace_115,0,0.9347639,0.9347639083862305
trace_116,1,0.9971732,0.0028268098831176758
trace_117,1,0.83065426,0.16934573650360107
trace_118,1,0.9960752,0.0039247870445251465
trace_119,0,0.30349386,0.303493857383728
trace_120,1,0.9952223,0.004777729511260986
trace_121,1,0.82490003,0.17509996891021729
trace_122,0,0.0026265313,0.0026265312917530537
trace_123,0,0.31495163,0.314951628446579
trace_124,0,0.006211465,0.00621146522462368
trace_125,0,0.0046853255,0.004685325548052788
trace_126,0,0.005902319,0.005902319215238094
trace_127,0,0.003839862,0.0038398620672523975
trace_128,0,0.010783753,0.010783753357827663
trace_129,1,0.99724835,0.002751648426055908
trace_130,0,0.008610234,0.008610233664512634
trace_131,1,0.97202086,0.027979135513305664
trace_132,1,0.95461875,0.045381247997283936
trace_133,1,0.9913311,0.008668899536132812
trace_134,1,0.9966364,0.0033636093139648438
trace_135,0,0.002952489,0.0029524890705943108
trace_136,0,0.004727911,0.004727911204099655
trace_137,1,0.96260196,0.03739804029464722
trace_138,1,0.99516875,0.004831254482269287
trace_139,0,0.8558951,0.8558951020240784
trace_140,0,0.9194652,0.919465184211731
trace_141,0,0.32724488,0.3272448778152466
trace_142,1,0.88946456,0.11053544282913208
trace_143,1,0.990945,0.009055018424987793
trace_144,0,0.0045972248,0.0045972247608006
trace_145,1,0.9963676,0.0036324262619018555
trace_146,0,0.013034678,0.013034678064286709
trace_147,1,0.9714247,0.02857530117034912
trace_148,1,0.048354007,0.9516459926962852
trace_149,1,0.9963581,0.0036419034004211426
trace_150,1,0.9978782,0.0021218061447143555
trace_151,1,0.994941,0.005059003829956055
trace_152,1,0.85682255,0.14317744970321655
trace_153,1,0.9953035,0.004696488380432129
trace_154,0,0.0045095636,0.004509563557803631
trace_155,1,0.9423736,0.057626426219940186
trace_156,1,0.9884409,0.011559128761291504
trace_157,0,0.0038425934,0.003842593403533101
trace_158,1,0.7729958,0.22700417041778564
trace_159,1,0.9803756,0.019624412059783936
trace_160,1,0.5392763,0.4607236981391907
trace_161,1,0.9975414,0.0024585723876953125
trace_162,0,0.0023957312,0.0023957311641424894
trace_163,0,0.03186142,0.03186142072081566
trace_164,0,0.010520535,0.010520534589886665
trace_165,1,0.9925821,0.007417917251586914
trace_166,1,0.9506064,0.04939359426498413
