traccia,y_Mano,y_predict,delta
1013211.IV.NRCA..HH,0,0.9972657,0.9972656965255737
10187731.IV.T1215..EH,0,0.5044042,0.5044041872024536
10262621.IV.MMO1..EH,0,0.99659204,0.9965920448303223
10264001.IV.T1241..EH,0,0.8708406,0.8708406090736389
10798531.IV.T1245..HH,0,0.93582845,0.935828447341919
10891551.IV.TERO..HH,0,0.72674435,0.7267443537712097
12394941.IV.T1220..EH,0,0.98074037,0.9807403683662415
12413041.IV.T1299..EH,0,0.6316427,0.6316426992416382
13252131.IV.T1216..EH,0,0.14622062,0.1462206244468689
13314821.IV.CESX..HH,0,0.9979504,0.9979503750801086
13738761.IV.T1211..EH,0,0.99867994,0.9986799359321594
14205471.IV.T1212..EH,0,0.9815621,0.981562077999115
14732951.IV.ARRO..EH,0,0.9945404,0.9945403933525085
15012341.IV.T1212..EH,0,0.9876073,0.9876073002815247
15794691.IV.RIBO..EH,0,0.9973199,0.9973198771476746
16067471.IV.HAGA..HH,0,0.99831855,0.9983185529708862
16067471.IV.HLNI..HH,0,0.997804,0.9978039860725403
1609949.IV.BSSO..HH,0,0.99866974,0.9986697435379028
1611939.IV.FAGN..EH,0,0.997095,0.997094988822937
1612869.IV.GRI..EH,0,0.99142694,0.991426944732666
1638849.IV.CING..HH,0,0.9965299,0.9965298771858215
1644899.IV.TERO..HH,0,0.9936587,0.993658721446991
16597551.IV.ATCC..EH,0,0.26633945,0.2663394510746002
1662639.IV.GUAR..EH,0,0.99555343,0.9955534338951111
1663529.IV.CAMP..EH,0,0.99734396,0.9973439574241638
1754129.IV.AMUR..HH,0,0.99751353,0.9975135326385498
18085401.IV.T1299..EH,0,0.73382246,0.7338224649429321
1809309.IV.MGR..HH,0,0.995858,0.9958580136299133
18145791.IV.NRCA..HH,0,0.9822176,0.9822176098823547
1834609.IV.CESI..HH,0,0.9985746,0.9985746145248413
1837449.IV.IVPL..HH,0,0.99696285,0.99696284532547
1837449.IV.MSRU..HH,0,0.9982786,0.9982786178588867
1837699.IV.CING..HH,0,0.99750334,0.9975033402442932
1854939.IV.HVZN..HH,0,0.9970192,0.9970191717147827
1856379.IV.PZZT..HH,0,0.99794465,0.9979446530342102
1857169.IV.ARVD..HH,0,0.9962244,0.9962244033813477
18726131.IV.RIBO..EH,0,0.99862266,0.9986226558685303
1896081.IV.ATMI..HH,0,0.9919526,0.9919525980949402
1910869.IV.VVLD..HH,0,0.9967668,0.9967668056488037
1911139.IV.CAMP..HH,0,0.9977418,0.9977418184280396
1911959.IV.INTR..HH,0,0.9982638,0.9982637763023376
1912379.IV.CAMP..HH,0,0.9718383,0.9718382954597473
19159451.IV.ASQU..HH,0,0.9985851,0.9985851049423218
1961599.IV.SALO..HH,0,0.99030745,0.9903074502944946
1961599.GU.TRAV..HH,0,0.9989753,0.9989752769470215
1982489.IV.CAMP..HH,0,0.99348176,0.9934817552566528
1998459.IV.FAGN..HH,0,0.9967596,0.9967595934867859
20379371.IV.SGG..HH,0,0.9989354,0.9989354014396667
2055009.IV.FIAM..HH,0,0.99896836,0.9989683628082275
2075389.IV.TERO..HH,0,0.99806005,0.9980600476264954
