traccia,y_Mano,y_predict,delta
10021501.IV.ATPC..HH,1,0.008566095,0.9914339054375887
10038641.IV.NRCA..HH,1,0.004344811,0.9956551888026297
10044111.IV.EL6..EH,1,0.90957654,0.09042346477508545
10045081.IV.T1216..EH,1,0.90626967,0.09373033046722412
10052771.IV.T1212..EH,1,0.0038074881,0.9961925118695945
10071471.IV.T1217..EH,1,0.029372374,0.9706276264041662
10077401.IV.PIEI..HH,1,0.006267276,0.9937327238731086
10077401.IV.SSFR..HH,1,0.02633138,0.9736686199903488
10119561.IV.T1221..EH,1,0.6345829,0.36541712284088135
10164481.IV.T1215..EH,1,0.45961994,0.54038006067276
10491321.IV.LNSS..HH,1,0.98275155,0.017248451709747314
10543011.IV.NRCA..HH,1,0.0037531524,0.996246847556904
10828361.IV.T1216..EH,1,0.33031315,0.6696868538856506
11111951.IV.NRCA..HH,1,0.0253041,0.9746959004551172
11129801.IV.CAFI..HH,1,0.033278104,0.9667218960821629
11212081.IV.LNSS..HH,1,0.005833066,0.9941669339314103
11212081.IV.T1218..EH,1,0.008368701,0.9916312992572784
11272321.IV.ATFO..HH,1,0.002466469,0.9975335309281945
11294301.IV.T1299..EH,1,0.0032891207,0.9967108792625368
11465391.IV.T1243..HH,1,0.87693834,0.1230616569519043
12234151.IV.NRCA..HH,1,0.007034947,0.9929650528356433
12234151.IV.T1218..EH,1,0.012956469,0.9870435306802392
12234151.IV.T1241..EH,1,0.0042523714,0.995747628621757
12234151.IV.T1244..EH,1,0.011093473,0.9889065269380808
12269741.IV.T1215..EH,1,0.9769066,0.02309340238571167
12347451.IV.ATPI..EH,1,0.010664398,0.9893356021493673
12630881.IV.RM33..EH,1,0.24214917,0.7578508257865906
12672631.IV.T1212..EH,1,0.0053559924,0.9946440076455474
12674061.IV.T1202..EH,1,0.0074143363,0.9925856636837125
12756221.IV.ARRO..EH,1,0.0020876117,0.9979123882949352
12758761.IV.T1202..EH,1,0.024730172,0.975269827991724
1298801.IV.MPAZ..HH,1,0.022579355,0.9774206448346376
13340791.IV.T1219..EH,1,0.0024335205,0.9975664794910699
13383881.IV.T1247..HH,1,0.010868135,0.9891318650916219
13387351.NI.POLC..HH,1,0.0064789224,0.9935210775583982
1342011.IV.IVPL..HH,1,0.007362612,0.9926373879425228
13431341.IV.TERO..HH,1,0.98687136,0.01312863826751709
13451831.IV.GUMA..HH,1,0.012226962,0.9877730384469032
13636761.IV.T1215..EH,1,0.94543827,0.054561734199523926
13662751.IV.SMA1..EH,1,0.9678454,0.032154619693756104
13750891.IV.ARVD..HH,1,0.004152275,0.9958477248437703
13750891.IV.ATPI..EH,1,0.009063638,0.9909363621845841
13750891.IV.ATTE..HH,1,0.00692319,0.9930768101476133
13750891.IV.T1241..EH,1,0.0034100586,0.9965899414382875
13750891.IV.T1299..EH,1,0.0096764965,0.9903235035017133
13752571.IV.CAMP..HH,1,0.009018187,0.9909818125888705
13752571.IV.T1212..EH,1,0.005273281,0.9947267188690603
13752571.IV.T1217..EH,1,0.004030481,0.9959695190191269
13752571.IV.T1218..EH,1,0.004197276,0.9958027238026261
1397411.IV.MPNC..HH,1,0.6105955,0.3894044756889343
14073831.IV.T1218..EH,1,0.00684322,0.9931567800231278
14088541.IV.TEOL..HH,1,0.098308735,0.9016912654042244
14169541.IV.T1217..EH,1,0.060334448,0.9396655522286892
14193071.IV.SMA1..EH,1,0.8492256,0.15077441930770874
14360101.IV.MC2..EH,1,0.7849312,0.21506881713867188
14523571.IV.T1214..EH,1,0.0035096533,0.9964903467334807
14757721.IV.T1214..EH,1,0.56560785,0.43439215421676636
14759921.IV.ATPI..EH,1,0.0023733499,0.99762665014714
14759921.IV.EL6..EH,1,0.004877095,0.9951229048892856
14759921.IV.SSFR..HH,1,0.004739328,0.9952606721781194
15064481.IV.T0110..HH,1,0.00252778,0.9974722201004624
15064481.IV.T1213..EH,1,0.0043403683,0.9956596316769719
15064481.IV.T1218..EH,1,0.0067247855,0.9932752144522965
15287901.IV.NRCA..HH,1,0.004046955,0.9959530448541045
15289181.GU.RSP..HH,1,0.003806502,0.9961934979073703
1530211.IV.ATPI..EH,1,0.85729414,0.14270585775375366
15361061.IV.T1219..EH,1,0.4859444,0.514055609703064
15475331.IV.CSP1..EH,1,0.8029072,0.19709277153015137
15557841.IV.T1214..EH,1,0.0035157606,0.996484239352867
15583881.IV.USI..HH,1,0.0034223967,0.996577603276819
15585791.IV.T1216..EH,1,0.0643184,0.9356815963983536
15586991.IV.CAMP..HH,1,0.0026263078,0.9973736922256649
15879671.IV.PLAC..HH,1,0.0035952642,0.9964047358371317
1601871.IV.NRCA..HH,1,0.0070767305,0.9929232695139945
1610329.IV.MURB..HH,1,0.029297167,0.9707028325647116
1611469.MN.CEL..HH,1,0.0028704829,0.9971295171417296
16116801.IV.T1216..EH,1,0.98083067,0.019169330596923828
16120531.IV.T1219..EH,1,0.014439658,0.9855603417381644
16122511.IV.MC2..EH,1,0.0036424394,0.9963575606234372
16211551.IV.T1299..EH,1,0.0035384207,0.996461579343304
1627199.IV.VULT..HH,1,0.0042328998,0.9957671002484858
1639119.IV.PESA..EH,1,0.0025817314,0.997418268583715
16415301.IV.T1214..EH,1,0.001228941,0.9987710589775816
16424091.IV.ROVR..HH,1,0.0031820221,0.9968179778661579
16424091.IV.SALO..HH,1,0.012078169,0.9879218311980367
1644829.MN.AQU..HH,1,0.041596074,0.9584039263427258
