traccia,y_Mano,y_predict,delta
1000111.IV.RAVA..EH,0,0.0057782102,0.005778210237622261
1000111.IV.ROVR..HH,1,0.89817214,0.10182785987854004
1000111.IV.T0821..EH,1,0.99868494,0.0013150572776794434
1000111.IV.TEOL..HH,0,0.0015259077,0.0015259076608344913
1000611.IV.RAVA..EH,0,0.0023427813,0.0023427812848240137
1000631.IV.RAVA..EH,0,0.011115805,0.011115805245935917
1000631.IV.T0822..EH,1,0.99168396,0.0083160400390625
1000631.IV.T0825..EH,1,0.9918429,0.008157074451446533
1000741.IV.RAVA..EH,0,0.00048663534,0.00048663534107618034
1000801.IV.RAVA..EH,0,0.0008891899,0.0008891898905858397
1001281.IV.RAVA..EH,0,0.0008407087,0.0008407086716033518
1001761.IV.NOVE..EH,0,0.005304626,0.005304626189172268
1001761.IV.T0800..HH,1,0.99037373,0.009626269340515137
1001991.IV.T0822..EH,1,0.9975465,0.0024535059928894043
1002471.IV.ERBM..EH,0,0.0061276844,0.006127684377133846
1002471.IV.RAVA..EH,1,0.999037,0.0009629726409912109
1002471.IV.T0819..EH,0,0.0011527363,0.0011527362512424588
1002471.IV.ZCCA..HH,0,0.0149327,0.01493270043283701
1002751.IV.MAGA..HH,1,0.97485083,0.025149166584014893
1004351.IV.ASQU..HH,1,0.9951782,0.00482177734375
1004351.IV.BDI..HH,0,0.0010325899,0.0010325899347662926
1004351.IV.CRMI..HH,0,0.004380787,0.004380786791443825
1004351.IV.PLMA..HH,0,0.0150472075,0.015047207474708557
1004351.GU.POPM..HH,0,0.02080808,0.020808080211281776
1004351.MN.VLC..HH,0,0.120597504,0.12059750407934189
1004511.IV.RAVA..EH,0,0.002154274,0.0021542739123106003
1004511.IV.T0822..EH,1,0.9980421,0.0019578933715820312
1004511.IV.T0825..EH,0,0.0025815277,0.002581527689471841
1005551.IV.RAVA..EH,1,0.9935788,0.006421208381652832
1006731.IV.MAGA..HH,0,0.0094629945,0.009462994523346424
1006731.IV.NOVE..EH,1,0.9993722,0.0006278157234191895
1006731.IV.RAVA..EH,0,0.018038021,0.01803802140057087
1006731.IV.ROVR..HH,1,0.9921753,0.007824718952178955
1006731.IV.T0800..HH,0,0.06200899,0.062008991837501526
1007041.IV.T0800..HH,1,0.9990816,0.0009183883666992188
1008571.IV.T0819..EH,1,0.99756265,0.0024373531341552734
1008851.IV.T0822..EH,0,0.002297563,0.002297563012689352
1009261.IV.RAVA..EH,0,0.006478039,0.0064780390821397305
1009261.IV.T0800..HH,0,0.0089255115,0.008925511501729488
1009261.IV.T0821..EH,0,0.003899634,0.0038996338844299316
1009261.IV.ZCCA..HH,1,0.9974463,0.002553701400756836
1009711.IV.NOVE..EH,0,0.0010369833,0.0010369833325967193
1009711.IV.T0825..EH,1,0.99756575,0.002434253692626953
1011691.IV.MSSA..HH,0,0.0045427727,0.0045427726581692696
1011691.IV.PLMA..HH,1,0.9917889,0.008211076259613037
1011691.MN.VLC..HH,0,0.015938062,0.015938062220811844
1012001.IV.RAVA..EH,0,0.0036140657,0.0036140657030045986
1014971.IV.RAVA..EH,0,0.004182035,0.004182035103440285
1015021.IV.RAVA..EH,0,0.0004590562,0.000459056202089414
1015641.IV.T0819..EH,1,0.99930143,0.0006985664367675781
1015721.IV.ATMC..EH,1,0.99772424,0.0022757649421691895
1015721.IV.ATVA..EH,1,0.995138,0.004862010478973389
1015721.IV.SSP9..EH,0,0.006813037,0.00681303720921278
1015891.IV.ATMC..EH,0,0.00557677,0.005576769821345806
1015891.IV.SSP9..EH,0,0.0032084375,0.003208437468856573
1015931.IV.FROS..HH,1,0.9989078,0.0010921955108642578
1018091.IV.RAVA..EH,0,0.000530181,0.0005301809869706631
1018161.IV.RAVA..EH,0,0.0029942594,0.0029942593537271023
1019451.IV.T0822..EH,1,0.9765618,0.023438215255737305
1024461.IV.ARCI..HH,0,0.0049537197,0.004953719675540924
1024461.IV.ATVO..HH,1,0.994117,0.005882978439331055
1024461.IV.CAFI..HH,1,0.9977743,0.0022256970405578613
1024461.IV.CRE..HH,1,0.99761355,0.00238645076751709
1024461.IV.FROS..HH,1,0.9992021,0.0007979273796081543
1024461.IV.PARC..HH,1,0.997068,0.0029320120811462402
1025071.IV.T0825..EH,0,0.0028332947,0.0028332946822047234
10253491.IV.BDI..HH,1,0.99903595,0.000964045524597168
10253491.IV.MPPT..EH,1,0.65280986,0.34719014167785645
10253491.IV.MTCR..EH,1,0.9987896,0.0012103915214538574
1028501.IV.RAVA..EH,0,0.0025616942,0.0025616942439228296
10298611.GU.GRAM..HH,1,0.99848074,0.0015192627906799316
10299001.GU.EQUI..HH,0,0.001842804,0.0018428040202707052
10299001.GU.GRAM..HH,1,0.9995896,0.00041037797927856445
