traccia,y_Mano,y_predict5,y_predict6,y_predict1,y_predict0,y_predict2,y_predict3,y_predict4
1000111.IV.RAVA..EH,0,0.0048882714,0.0068347217,0.0024313175,0.007083941,0.0028970148,0.003070107,0.0057846294
1000111.IV.ROVR..HH,1,0.9151998,0.92661995,0.9577163,0.92253006,0.9079792,0.89950275,0.89363587
1000111.IV.T0820..EH,0,0.8945006,0.7416603,0.8982262,0.7991963,0.8010933,0.7535556,0.8391349
1000111.IV.T0821..EH,1,0.998601,0.99855584,0.9979996,0.99839133,0.9974598,0.9977222,0.99868697
1000111.IV.TEOL..HH,0,0.002576283,0.0034222112,0.0017699383,0.0028825705,0.001879655,0.002221232,0.0015465418
1000611.IV.RAVA..EH,0,0.0032159018,0.0032044414,0.0014988533,0.002601157,0.0014664278,0.0016328146,0.0023841565
1000631.IV.RAVA..EH,0,0.007420248,0.007938073,0.0048227957,0.012793163,0.011596045,0.013703932,0.010584397
1000631.IV.T0822..EH,1,0.99402845,0.995946,0.99543864,0.9951741,0.992531,0.9946128,0.99169403
1000631.IV.T0825..EH,1,0.9838186,0.9934488,0.9855079,0.9916347,0.98803,0.98343706,0.9918059
1000741.IV.RAVA..EH,0,0.0010700226,0.00069263997,0.0004958395,0.0014153529,0.0005591103,0.00051004393,0.0004966825
1000801.IV.RAVA..EH,0,0.0014327023,0.0008841896,0.00074571976,0.0020163455,0.0006870368,0.0006377486,0.00088452536
1001281.IV.RAVA..EH,0,0.002125753,0.0018182928,0.0016116988,0.0020390402,0.0016868976,0.0016474396,0.0008267033
1001761.IV.NOVE..EH,0,0.006383976,0.009053403,0.00912954,0.0058558765,0.0045963433,0.004286561,0.0050828457
1001761.IV.T0800..HH,1,0.99023813,0.990488,0.9786919,0.9891583,0.98697436,0.97697645,0.9904038
1001991.IV.T0822..EH,1,0.9957301,0.99741507,0.99434114,0.9972479,0.9965314,0.9949719,0.9975473
1002471.IV.ERBM..EH,0,0.012085819,0.014028008,0.0116683375,0.0114060845,0.0121756,0.012529301,0.006318417
1002471.IV.RAVA..EH,1,0.9989919,0.9989845,0.99879223,0.99867505,0.99796486,0.99899477,0.9990959
1002471.IV.T0800..HH,1,0.9958831,0.99784696,0.99540734,0.9974329,0.9949155,0.99502915,0.9979873
1002471.IV.T0819..EH,0,0.003018645,0.0022975956,0.003040771,0.0033507943,0.0021063979,0.0025189596,0.0011531322
1002471.IV.ZCCA..HH,0,0.009842368,0.012996442,0.007158466,0.015887564,0.011107522,0.007707563,0.017176628
1002751.IV.MAGA..HH,1,0.9768811,0.97918105,0.9752101,0.9716751,0.9753866,0.9841075,0.9750141
1002751.IV.ROVR..HH,0,0.004948857,0.004968906,0.052055646,0.009902747,0.01000996,0.009357941,0.004320173
1004351.IV.ASQU..HH,1,0.9932628,0.9957164,0.9936792,0.9944343,0.99418914,0.9904592,0.9953923
1004351.IV.BDI..HH,0,0.001261524,0.001251697,0.0010013841,0.002030908,0.00041625975,0.0010371251,0.0010247895
1004351.IV.CRMI..HH,0,0.003709448,0.0029308521,0.00406586,0.005149343,0.003055836,0.0035386174,0.004712801
1004351.IV.PLMA..HH,0,0.011648272,0.017861431,0.0078000957,0.040369023,0.0104587125,0.0073559163,0.013050557
1004351.GU.POPM..HH,0,0.04173435,0.055894434,0.02314994,0.026510684,0.016301537,0.027448725,0.02101743
1004351.MN.VLC..HH,0,0.0774027,0.08313423,0.06877784,0.12741558,0.10483423,0.03731965,0.11368378
1004511.IV.NOVE..EH,0,0.0027903388,0.0027890217,0.0071557146,0.0040692855,0.0039937044,0.0044373064,0.0023144917
1004511.IV.RAVA..EH,0,0.0016596952,0.0036930812,0.0018264246,0.0028495328,0.002543816,0.0025670084,0.0021322994
1004511.IV.T0819..EH,1,0.9903808,0.98267555,0.9927055,0.9890738,0.9834531,0.98719794,0.9885174
1004511.IV.T0822..EH,1,0.99648833,0.9981152,0.9947056,0.9973513,0.99483335,0.9939015,0.99802554
1004511.IV.T0825..EH,0,0.0029521158,0.0057465783,0.004631637,0.004136448,0.00488807,0.004160944,0.002569417
1005551.IV.RAVA..EH,1,0.99275726,0.9873218,0.9862872,0.993676,0.9866397,0.98459494,0.9936035
1006731.IV.MAGA..HH,0,0.01638232,0.015143412,0.048141383,0.023830114,0.014694988,0.019767102,0.009482895
1006731.IV.NOVE..EH,1,0.99916005,0.99929535,0.99883074,0.99939454,0.9989164,0.9988979,0.9993789
1006731.GU.POPM..HH,0,0.01581112,0.023557583,0.014206155,0.013583683,0.010792419,0.0117842,0.007700804
1006731.IV.RAVA..EH,0,0.06866886,0.048281595,0.13493393,0.032837953,0.015799822,0.015776578,0.017987128
1006731.IV.ROVR..HH,1,0.9841781,0.9859826,0.9906709,0.9841719,0.9901648,0.9883025,0.9909197
1006731.IV.T0800..HH,0,0.051364753,0.07777301,0.154693,0.07390242,0.055541243,0.08818358,0.062253993
1007041.IV.T0800..HH,1,0.9985435,0.99841416,0.99770606,0.9988029,0.99758995,0.9978795,0.9990847
1008571.IV.T0819..EH,1,0.99787045,0.9964191,0.9975374,0.9962257,0.99510384,0.9947438,0.9975533
1008851.IV.T0822..EH,0,0.0059203054,0.003814782,0.0036312512,0.00591203,0.0033648289,0.0032657774,0.002297408
1009261.IV.RAVA..EH,0,0.0077265725,0.012098329,0.013106102,0.009844328,0.00962359,0.007420477,0.006451418
1009261.IV.T0800..HH,0,0.012140066,0.0107202595,0.014717595,0.010949455,0.006677918,0.011265628,0.008752211
1009261.IV.T0821..EH,0,0.0038147676,0.003441077,0.0022378168,0.003955368,0.0052748597,0.0036857913,0.00391887
1009261.IV.ZCCA..HH,1,0.995849,0.99656516,0.9966274,0.9968167,0.99300694,0.9956701,0.9971902
1009711.IV.NOVE..EH,0,0.0023183234,0.00213837,0.0028303082,0.0032656547,0.0023416982,0.0026197946,0.0009715747
1009711.IV.T0825..EH,1,0.9961816,0.9938763,0.9910801,0.9946845,0.9892239,0.98787785,0.99751925
1011691.IV.MSSA..HH,0,0.004152326,0.0045291283,0.005413779,0.007755265,0.005219638,0.005436933,0.0056522335
1011691.IV.PLMA..HH,1,0.99343055,0.99386203,0.984289,0.98863834,0.991013,0.9773416,0.9932935
1011691.MN.VLC..HH,0,0.009162,0.0096825855,0.0130179105,0.014129864,0.0091270255,0.00693423,0.012291966
1012001.IV.RAVA..EH,0,0.0025645578,0.0022777792,0.0017486411,0.0045571066,0.003845031,0.0033872034,0.00320641
1014971.IV.RAVA..EH,0,0.007563377,0.0057590473,0.014371688,0.0042201323,0.004406384,0.004886878,0.0041803913
1015021.IV.RAVA..EH,0,0.0011407433,0.00095376075,0.000817916,0.0009482842,0.0008210935,0.00091542664,0.00046242963
1015641.IV.T0819..EH,1,0.9986027,0.9987184,0.9987539,0.99846673,0.997129,0.99808455,0.99930084
