traccia,y_Mano,y_predict5,y_predict6,y_predict1,y_predict0,y_predict2,y_predict3,y_predict4
1000111.IV.RAVA..EH,0,0.0048861867,0.0068090693,0.0024290956,0.007065672,0.0028892253,0.0030609786,0.0057782102
1000111.IV.ROVR..HH,1,0.9181248,0.9281546,0.960454,0.9242403,0.9121104,0.89850473,0.89817214
1000111.IV.T0820..EH,0,0.89530325,0.7429855,0.89844984,0.8016829,0.8032964,0.7546208,0.84025514
1000111.IV.T0821..EH,1,0.99860543,0.9985592,0.99799085,0.9983997,0.9974674,0.9977258,0.99868494
1000111.IV.TEOL..HH,0,0.002557852,0.0034064725,0.0017939465,0.0028494734,0.0018659515,0.0022405493,0.0015259077
1000611.IV.RAVA..EH,0,0.0032848557,0.003192442,0.0014752741,0.002544628,0.0014528628,0.001556788,0.002342779
1000631.IV.RAVA..EH,0,0.0077723865,0.008164994,0.0046833004,0.013409335,0.012205229,0.014929473,0.011115805
1000631.IV.T0822..EH,1,0.994034,0.9959487,0.99543554,0.99518025,0.9925328,0.99461126,0.99168396
1000631.IV.T0825..EH,1,0.9838336,0.99346715,0.985524,0.99162126,0.9880536,0.9833723,0.9918429
1000741.IV.RAVA..EH,0,0.0010472588,0.00068232144,0.0004967329,0.0013879918,0.00056095637,0.00051371113,0.0004866347
1000801.IV.RAVA..EH,0,0.0014442811,0.000881502,0.00074612885,0.0020221833,0.00068807177,0.0006317972,0.00088918954
1001281.IV.RAVA..EH,0,0.0021374512,0.0018182539,0.0016219683,0.0020635917,0.0016858723,0.0016409742,0.00084070826
1001761.IV.NOVE..EH,0,0.006168355,0.008812783,0.009528163,0.005890072,0.004618529,0.004102991,0.005304626
1001761.IV.T0800..HH,1,0.99020785,0.99049765,0.9786027,0.98915344,0.9869556,0.97705054,0.99037373
1001991.IV.T0822..EH,1,0.9957321,0.9974172,0.994341,0.99724823,0.99653083,0.99497,0.9975465
1002471.IV.ERBM..EH,0,0.01206005,0.013959451,0.010927037,0.01155346,0.01199016,0.01358323,0.00612769
1002471.IV.RAVA..EH,1,0.9989471,0.9989569,0.9987674,0.9986248,0.9979235,0.9990006,0.999037
1002471.IV.T0800..HH,1,0.9958817,0.9978441,0.99540967,0.99742943,0.99492055,0.9950315,0.99799025
1002471.IV.T0819..EH,0,0.0030181345,0.002295472,0.0030373456,0.0033493838,0.0021062202,0.0025188578,0.0011527373
1002471.IV.ZCCA..HH,0,0.009560397,0.010970954,0.007740657,0.014602442,0.008487406,0.007312387,0.0149327
1002751.IV.MAGA..HH,1,0.9765608,0.9787425,0.9749255,0.97124445,0.97518265,0.98332465,0.97485083
1002751.IV.ROVR..HH,0,0.004980112,0.004995333,0.051856518,0.0099468995,0.010053332,0.009384435,0.0043224734
1004351.IV.ASQU..HH,1,0.9933531,0.9957866,0.9937318,0.99463487,0.9943979,0.99020153,0.9951782
1004351.IV.BDI..HH,0,0.0012762077,0.001266205,0.0010043507,0.0020500312,0.00042175234,0.0010611624,0.0010325899
1004351.IV.CRMI..HH,0,0.003551294,0.002985811,0.0036063897,0.0052119703,0.0028329082,0.0035163122,0.004380789
1004351.IV.PLMA..HH,0,0.011924305,0.015448635,0.0076839235,0.03532048,0.01051783,0.0062993215,0.0150472075
1004351.GU.POPM..HH,0,0.04202233,0.05767154,0.022673119,0.02693324,0.01577189,0.027897816,0.02080808
1004351.MN.VLC..HH,0,0.07874651,0.08624479,0.073801,0.13250951,0.11023285,0.03842556,0.120597504
1004511.IV.NOVE..EH,0,0.002713203,0.0027036886,0.0064674965,0.0040146876,0.0042581293,0.004681407,0.0022995588
1004511.IV.RAVA..EH,0,0.001671261,0.0037089037,0.0018268655,0.0028821195,0.002542656,0.00253621,0.0021542727
1004511.IV.T0819..EH,1,0.9903656,0.9826371,0.9926529,0.988997,0.9836199,0.98721594,0.9884587
1004511.IV.T0822..EH,1,0.9965153,0.9981123,0.9947582,0.9973801,0.9948508,0.9938891,0.9980421
1004511.IV.T0825..EH,0,0.0029824732,0.0057834093,0.0045835744,0.004162349,0.0049202945,0.004218347,0.0025815289
1005551.IV.RAVA..EH,1,0.99276155,0.98729205,0.9862199,0.99364614,0.9866571,0.98458636,0.9935788
1006731.IV.MAGA..HH,0,0.01635271,0.0151377665,0.047848888,0.023825673,0.014650179,0.019788226,0.00946299
1006731.IV.NOVE..EH,1,0.99915123,0.9992938,0.9987897,0.9993899,0.9989196,0.9988702,0.9993722
1006731.GU.POPM..HH,0,0.013821463,0.017596211,0.016536286,0.014473977,0.008598714,0.01308289,0.00678935
1006731.IV.RAVA..EH,0,0.06875055,0.048290208,0.13470961,0.03281042,0.01591246,0.015888326,0.018038005
1006731.IV.ROVR..HH,1,0.9854936,0.9885725,0.9924057,0.9850344,0.9913708,0.99110806,0.9921753
1006731.IV.T0800..HH,0,0.051134758,0.07857567,0.15013535,0.07375737,0.05564814,0.09184485,0.06200902
1007041.IV.T0800..HH,1,0.9985429,0.9983998,0.99770457,0.99880433,0.99757403,0.9978795,0.9990816
1008571.IV.T0819..EH,1,0.9978834,0.9964083,0.99754864,0.99620557,0.9950557,0.9947088,0.99756265
1008851.IV.T0822..EH,0,0.005920651,0.0038151897,0.003631291,0.0059123496,0.003365229,0.0032662444,0.002297563
1009261.IV.RAVA..EH,0,0.00773024,0.012135577,0.01314728,0.009907536,0.009611517,0.0074310564,0.006478045
1009261.IV.T0800..HH,0,0.012264412,0.010871252,0.01506698,0.011184869,0.006778715,0.011438562,0.0089255115
1009261.IV.T0821..EH,0,0.003806018,0.0034391708,0.0022240395,0.003964369,0.0052814237,0.0036819517,0.003899634
1009261.IV.ZCCA..HH,1,0.9958697,0.9964302,0.9969717,0.9967728,0.9933036,0.995749,0.9974463
1009711.IV.NOVE..EH,0,0.002294734,0.0021634304,0.002860099,0.003253824,0.0022812432,0.0025648568,0.0010369833
1009711.IV.T0825..EH,1,0.9961641,0.99384034,0.9912026,0.9946549,0.98917204,0.9879403,0.99756575
1011691.IV.MSSA..HH,0,0.0037098674,0.004589768,0.0048834635,0.0075813807,0.004984717,0.005444656,0.0045427727
1011691.IV.PLMA..HH,1,0.99374616,0.99240947,0.98094076,0.9872285,0.9894378,0.97022724,0.9917889
1011691.MN.VLC..HH,0,0.010454242,0.010499653,0.014516629,0.016075013,0.010879942,0.007182466,0.015938062
1012001.IV.RAVA..EH,0,0.002723494,0.0022228432,0.0017144768,0.0052973805,0.0039051643,0.003190197,0.0036140657
1014971.IV.RAVA..EH,0,0.0075630834,0.005757314,0.014378578,0.004219503,0.004403981,0.0048796576,0.004182035
1015021.IV.RAVA..EH,0,0.0011371645,0.0009560302,0.00081802596,0.00094806287,0.0008251875,0.00092015974,0.0004590564
1015641.IV.T0819..EH,1,0.9986022,0.99871767,0.9987558,0.9984647,0.99712676,0.9980824,0.99930143
1015721.IV.ATBU..EH,1,0.99140173,0.99318624,0.98921204,0.9885562,0.9865956,0.9893527,0.9932719
1015721.IV.ATMC..EH,1,0.9978108,0.99687576,0.9971937,0.99813664,0.99539894,0.9951916,0.99772424
1015721.IV.ATMI..HH,0,0.011151378,0.009699486,0.0127758905,0.012457863,0.0079612415,0.0069249375,0.013019436
1015721.IV.ATVA..EH,1,0.996241,0.9934529,0.994859,0.9944863,0.99096924,0.9871679,0.995138
1015721.IV.SSP9..EH,0,0.0066224877,0.0116501665,0.0030536111,0.00919564,0.005717839,0.007083384,0.0068130433
1015721.IV.TRIF..HH,1,0.22584,0.36195046,0.41647825,0.33496678,0.44069105,0.42401245,0.24883695
1015891.IV.ATMC..EH,0,0.008863078,0.009741089,0.006216018,0.0069050803,0.008416339,0.0045014257,0.00557677
1015891.IV.ATPI..EH,0,0.006452769,0.006092724,0.004659451,0.008633707,0.0068361717,0.0063444683,0.006156355
1015891.IV.SSP9..EH,0,0.004995373,0.0045645665,0.00688454,0.0052698054,0.004944184,0.004920215,0.0032084375
1015931.IV.FROS..HH,1,0.99890447,0.9984787,0.99878985,0.9985247,0.9978688,0.99776006,0.9989078
1018091.IV.RAVA..EH,0,0.0010441993,0.0011295613,0.0022861757,0.0014421674,0.0009845978,0.0009955249,0.0005301807
1018161.IV.RAVA..EH,0,0.0026583741,0.0039089057,0.0019850659,0.0039606653,0.0021085236,0.002570675,0.0029942608
1019451.IV.T0822..EH,1,0.9783578,0.92651147,0.96763706,0.94001794,0.9714163,0.97930044,0.9765618
1024461.IV.ARCI..HH,0,0.0048601637,0.005497919,0.008069732,0.003810959,0.00311101,0.0037841776,0.004953718
1024461.IV.ATVO..HH,1,0.99282044,0.9916391,0.9910641,0.9920333,0.98827285,0.9853419,0.994117
1024461.IV.CAFI..HH,1,0.9973557,0.9976508,0.99588037,0.9973074,0.99717253,0.9966265,0.9977743
1024461.IV.CRE..HH,1,0.9973001,0.9981881,0.99583733,0.9974016,0.99688476,0.9931384,0.99761355
1024461.IV.FROS..HH,1,0.999097,0.9989692,0.99941564,0.999116,0.99883884,0.998185,0.9992021
1024461.IV.PARC..HH,1,0.9964418,0.9971578,0.9973151,0.9976926,0.99402386,0.99577075,0.997068
1025071.IV.T0825..EH,0,0.0047409497,0.0074533448,0.004571123,0.0072932052,0.0060711256,0.008049467,0.0028332947
10253491.IV.BDI..HH,1,0.99834883,0.99864405,0.9991048,0.99890125,0.99704367,0.99737525,0.99903595
10253491.IV.MPPT..EH,1,0.7815396,0.7119552,0.78431106,0.7945953,0.73885816,0.6743541,0.6528099
10253491.IV.MTCR..EH,1,0.9990464,0.998492,0.9994611,0.9991979,0.9987698,0.9991271,0.9987896
1028501.IV.RAVA..EH,0,0.0037898063,0.0031633512,0.0030843562,0.0027289027,0.0019639565,0.0033182416,0.0025616954
10298611.GU.GRAM..HH,1,0.99851495,0.9984528,0.9986148,0.9980709,0.9967675,0.99580365,0.99848074
10299001.GU.EQUI..HH,0,0.001808239,0.0024111255,0.0034757126,0.0025276947,0.0027869814,0.001966566,0.0018428048
10299001.GU.GRAM..HH,1,0.99939096,0.99946755,0.9992132,0.99923575,0.99901366,0.9982691,0.9995896
