traccia,y_Mano,y_predict,delta
trace_0,0,0.0020379606,0.002037960570305586
trace_1,1,0.006364575,0.9936354248784482
trace_2,0,0.002268455,0.0022684549912810326
trace_3,1,0.9313296,0.06867039203643799
trace_4,1,0.9909361,0.009063899517059326
trace_5,0,0.0032309564,0.003230956383049488
trace_6,1,0.9993211,0.0006788969039916992
trace_7,0,0.05886997,0.058869969099760056
trace_8,1,0.99930716,0.0006928443908691406
trace_9,0,0.0006683917,0.0006683917017653584
trace_10,1,0.047375537,0.9526244625449181
trace_11,1,0.9978537,0.002146303653717041
trace_12,0,0.101928234,0.1019282341003418
trace_13,0,0.0141961025,0.014196102507412434
trace_14,1,0.99697125,0.0030287504196166992
trace_15,0,0.001458777,0.001458776998333633
trace_16,0,0.05892243,0.058922428637742996
trace_17,1,0.9726073,0.027392685413360596
trace_18,1,0.992481,0.0075190067291259766
trace_19,1,0.95157915,0.048420846462249756
trace_20,0,0.0018871237,0.0018871236825361848
trace_21,1,0.9678189,0.03218108415603638
trace_22,1,0.08597743,0.9140225723385811
trace_23,1,0.99505156,0.004948437213897705
trace_24,1,0.9983559,0.0016440749168395996
trace_25,0,0.50823027,0.5082302689552307
trace_26,0,0.0057618115,0.005761811509728432
trace_27,0,0.0021027694,0.0021027694456279278
trace_28,1,0.99264127,0.007358729839324951
trace_29,0,0.008815883,0.008815882727503777
trace_30,0,0.035404924,0.03540492430329323
trace_31,1,0.9958105,0.004189491271972656
trace_32,0,0.005319822,0.005319822113960981
trace_33,1,0.99020255,0.009797453880310059
trace_34,0,0.00069940416,0.0006994041614234447
trace_35,1,0.9986613,0.0013387203216552734
trace_36,0,0.03159397,0.03159397095441818
trace_37,0,0.0739493,0.07394929975271225
trace_38,0,0.01070008,0.01070007961243391
trace_39,1,0.0070894635,0.9929105364717543
trace_40,1,0.9911646,0.008835375308990479
trace_41,0,0.0022005485,0.0022005485370755196
trace_42,1,0.9975961,0.0024039149284362793
trace_43,1,0.9954939,0.004506111145019531
trace_44,1,0.9669166,0.03308337926864624
trace_45,1,0.049081426,0.9509185738861561
trace_46,1,0.9941525,0.005847513675689697
trace_47,1,0.9996265,0.00037348270416259766
trace_48,1,0.991217,0.00878298282623291
trace_49,1,0.9417031,0.058296918869018555
trace_50,1,0.9934829,0.0065171122550964355
trace_51,0,0.01434748,0.014347479678690434
trace_52,0,0.00063409377,0.0006340937688946724
trace_53,0,0.0013320327,0.0013320327270776033
trace_54,0,0.005220012,0.005220011807978153
trace_55,1,0.98806864,0.011931359767913818
trace_56,1,0.9976695,0.002330482006072998
trace_57,1,0.9944623,0.005537688732147217
trace_58,1,0.77474695,0.22525304555892944
trace_59,1,0.9944876,0.005512416362762451
trace_60,1,0.9980876,0.0019124150276184082
trace_61,1,0.99372673,0.0062732696533203125
trace_62,1,0.99747664,0.002523362636566162
trace_63,1,0.9886274,0.011372625827789307
trace_64,1,0.9905379,0.009462118148803711
trace_65,0,0.043449443,0.04344944283366203
trace_66,0,0.00092759304,0.0009275930351577699
