traccia,y_Mano,y_predict5,y_predict6,y_predict1,y_predict7,y_predict0,y_predict2,y_predict3,y_predict4
210901012118.S0112.CHZ,unknown,0.54267144,0.57224625,0.5994289,0.684669,0.65555257,0.5573713,0.6271456,0.6474012
210901012118.S0114.CHZ,unknown,0.624601,0.5700278,0.5716458,0.5244292,0.604866,0.65235835,0.52186805,0.55920005
210901012118.S0213.CHZ,unknown,0.4071717,0.23907015,0.28376833,0.37005413,0.31981722,0.3550812,0.25073078,0.19703534
210901012118.S0313.DHZ,unknown,0.47152013,0.4350754,0.47985965,0.5323945,0.5745734,0.5708961,0.42319366,0.5220612
210901012118.S0314.DHZ,unknown,0.37765244,0.4507703,0.5533354,0.6081751,0.6678596,0.6324199,0.49084744,0.65301657
210901012118.S0413.DHZ,unknown,0.0388592,0.0365511,0.023700938,0.04351695,0.048452333,0.035682384,0.027726492,0.042426053
210901012118.S0416.DHZ,unknown,0.55982184,0.47430825,0.5454742,0.47370026,0.46571863,0.47199827,0.5092205,0.4878312
210901012118.S0813.DHZ,unknown,0.05336927,0.04053566,0.04044268,0.035676345,0.017340172,0.02649757,0.024969446,0.015436692
210901012118.S0913.DHZ,unknown,0.30948943,0.20033783,0.3485341,0.35673374,0.24589875,0.3025726,0.23031802,0.18689074
210901012118.S1009.DHZ,unknown,0.62522274,0.7240128,0.70317143,0.73971397,0.75220317,0.7113897,0.7506967,0.71145153
210901012118.S1013.DHZ,unknown,0.9924935,0.99357855,0.99305564,0.9941584,0.9925162,0.9909219,0.99479717,0.98475593
210901020904.S0209.CHZ,unknown,0.90946305,0.8858981,0.8914641,0.88614947,0.839248,0.93318695,0.8639855,0.82455736
210901020904.S0213.CHZ,unknown,0.2763374,0.28398988,0.30060062,0.31662917,0.29593372,0.31890056,0.32219732,0.30961737
210901020904.S0309.DHZ,unknown,0.9963677,0.9955908,0.99550605,0.99657106,0.9941186,0.9945674,0.9952023,0.9947291
210901020904.S0409.DHZ,unknown,0.5930215,0.64463365,0.5731265,0.61165726,0.762183,0.65688616,0.6993504,0.699862
210901020904.S0509.DHZ,unknown,0.36879545,0.26082733,0.31594092,0.27887934,0.35790253,0.28503147,0.2558345,0.2829076
210901020904.S0709.DHZ,unknown,0.9856489,0.9930775,0.98194075,0.99019486,0.99165875,0.98210216,0.99051076,0.9889747
210901020904.S0809.DHZ,unknown,0.89882374,0.9432575,0.87088424,0.9188808,0.77148336,0.85769004,0.91100174,0.88048154
210901034256.S0112.CHZ,unknown,0.34273675,0.4073084,0.3394323,0.34207165,0.361576,0.35935158,0.20785984,0.37788987
210901034256.S0206.CHZ,unknown,0.55440634,0.564841,0.5640487,0.6111288,0.43973324,0.4990315,0.57489616,0.49822912
210901034256.S0209.CHZ,unknown,0.99635303,0.99385107,0.9911602,0.99574417,0.99419516,0.99239445,0.99358916,0.99345857
210901034256.S0213.CHZ,unknown,0.9719092,0.9814999,0.97353786,0.9778567,0.9860874,0.97218084,0.9843816,0.97570044
210901034256.S0309.DHZ,unknown,0.9880091,0.9691722,0.97671187,0.9851944,0.98655605,0.97386736,0.9798764,0.98112315
210901034256.S0313.DHZ,unknown,0.96447873,0.97484404,0.95803684,0.97508407,0.9560841,0.95808786,0.9704605,0.96485305
210901034256.S0314.DHZ,unknown,0.526246,0.44500104,0.45932096,0.5225559,0.5717373,0.5428478,0.45534095,0.44485545
210901034256.S0409.DHZ,unknown,0.102082916,0.19856378,0.060153138,0.12191953,0.09430645,0.067921326,0.08778863,0.033773467
210901034256.S0412.DHZ,unknown,0.6996717,0.6025576,0.7147739,0.6827779,0.6491805,0.71677786,0.64576304,0.6228548
210901034256.S0413.DHZ,unknown,0.94753563,0.94926757,0.94193137,0.95401955,0.94417214,0.9337623,0.97056246,0.8844354
210901034256.S0509.DHZ,unknown,0.47873777,0.3357874,0.5045501,0.45703694,0.41854468,0.5449773,0.3747411,0.3592476
210901034256.S0513.DHZ,unknown,0.9429193,0.9395165,0.88890964,0.95995224,0.93083215,0.92217195,0.96561986,0.87830615
210901034256.S0709.DHZ,unknown,0.8742372,0.71227646,0.7950713,0.87804705,0.74094206,0.83423895,0.80498564,0.85869426
210901034256.S0809.DHZ,unknown,0.9934855,0.99402595,0.9948573,0.9920415,0.9933189,0.99293786,0.99505854,0.9912443
210901034256.S0812.DHZ,unknown,0.5442499,0.6004305,0.64224845,0.618021,0.58081245,0.7290988,0.59501326,0.60214967
210901034256.S0909.DHZ,unknown,0.997051,0.9973562,0.9964914,0.99785954,0.9976077,0.99510396,0.99683386,0.99688244
210901034256.S1009.DHZ,unknown,0.99369895,0.9940707,0.98909783,0.9938904,0.99195284,0.9916795,0.99262893,0.9881082
210901034256.S1013.DHZ,unknown,0.9728377,0.9744329,0.9539305,0.9784534,0.9674605,0.97063553,0.95346683,0.9610607
210901034256.S1014.DHZ,unknown,0.21420391,0.09557594,0.1863561,0.18870799,0.18317552,0.2357718,0.12987202,0.06605168
210901034316.S0209.CHZ,unknown,0.67259127,0.69744575,0.73940384,0.719766,0.6595744,0.6738051,0.6141842,0.7078882
210901034316.S0213.CHZ,unknown,0.47862086,0.46722594,0.46703094,0.5065978,0.45040202,0.4466435,0.4165621,0.39805532
210901034316.S0309.DHZ,unknown,0.9650868,0.9476911,0.9659276,0.9496445,0.8027326,0.9550278,0.9385064,0.91787076
210901034316.S0313.DHZ,unknown,0.5916195,0.5820356,0.58468753,0.4621676,0.56876504,0.5530632,0.6436891,0.5630613
210901034316.S0409.DHZ,unknown,0.5653778,0.5136317,0.6727162,0.66083753,0.8740929,0.76884234,0.7918572,0.60143906
210901034316.S0413.DHZ,unknown,0.57498735,0.48557714,0.5559813,0.56342924,0.62234324,0.5898857,0.42576107,0.34183267
210901034316.S0509.DHZ,unknown,0.41186053,0.59450656,0.5347626,0.6295143,0.6079931,0.48226887,0.4646304,0.42577305
210901034316.S0513.DHZ,unknown,0.6832111,0.51893383,0.5679254,0.47778648,0.5178099,0.57152146,0.5080871,0.40640205
210901034316.S0809.DHZ,unknown,0.30311856,0.3080548,0.39287654,0.4502478,0.4295562,0.34604475,0.34548295,0.34582832
210901034316.S0813.DHZ,unknown,0.301446,0.23725581,0.27179343,0.28235942,0.3600057,0.22247039,0.22109006,0.2479593
210901034316.S0909.DHZ,unknown,0.5100729,0.38575074,0.42681116,0.40265653,0.39545456,0.4403299,0.4066063,0.3582547
210901034316.S1009.DHZ,unknown,0.7838581,0.7443003,0.82127243,0.71034443,0.6695956,0.8542091,0.78707874,0.63658077
210901034316.S1013.DHZ,unknown,0.06864286,0.05885788,0.057661388,0.12122883,0.15907457,0.054262683,0.1143195,0.11508513
210901034316.S1014.DHZ,unknown,0.4005342,0.44825268,0.48287672,0.40170008,0.53431064,0.35938588,0.4871525,0.4330814
210901044505.S0209.CHZ,unknown,0.7312926,0.6398232,0.74604464,0.69626355,0.67668253,0.6973654,0.66744375,0.71983176
210901044505.S0309.DHZ,unknown,0.448787,0.32267997,0.36716273,0.33357272,0.39498007,0.4037042,0.3055325,0.25008544
210901044505.S0409.DHZ,unknown,0.6291215,0.38059902,0.4692028,0.6305561,0.7952589,0.5129189,0.5752429,0.6105867
210901044505.S0709.DHZ,unknown,0.48165458,0.5703266,0.6693212,0.5950059,0.7654381,0.6710503,0.72375834,0.6928237
210901044505.S0809.DHZ,unknown,0.528758,0.5531473,0.60324633,0.4735752,0.54968524,0.5713419,0.5402832,0.49026152
210901044505.S0909.DHZ,unknown,0.67923635,0.6855154,0.67206347,0.63920856,0.7008551,0.76834685,0.724906,0.75627536
210901044505.S1009.DHZ,unknown,0.43703824,0.27323225,0.4579052,0.35490447,0.44736093,0.33930552,0.36823383,0.359014
210901172617.S0209.CHZ,unknown,0.6460874,0.490457,0.5583028,0.65164584,0.5851892,0.52644086,0.5078334,0.45577416
210901172617.S0309.DHZ,unknown,0.7256682,0.6342338,0.6182576,0.77660257,0.5334122,0.6984327,0.53190064,0.539113
210901172617.S0509.DHZ,unknown,0.41009235,0.4831052,0.38228932,0.4370529,0.5400467,0.3513487,0.34276617,0.22689359
210901172617.S0709.DHZ,unknown,0.40874904,0.34040716,0.3885281,0.400472,0.3448282,0.5172492,0.34288308,0.376124
210901172617.S0909.DHZ,unknown,0.29075927,0.29806897,0.4399984,0.30592895,0.4129346,0.32538778,0.38399023,0.36135176
210901172617.S1009.DHZ,unknown,0.25017694,0.16141757,0.29208434,0.18443838,0.25024423,0.19290507,0.17744489,0.21680804
210901210713.S0206.CHZ,unknown,0.42704186,0.2856601,0.3755893,0.39536834,0.38287306,0.41072732,0.3856502,0.2693881
210901210713.S0306.DHZ,unknown,0.5280267,0.5453496,0.5827717,0.49830553,0.550792,0.57093436,0.57860243,0.4996377
210901210713.S0706.DHZ,unknown,0.5636323,0.46261057,0.44737324,0.4693813,0.48939836,0.49116972,0.5036602,0.49053985
210901210713.S0710.DHZ,unknown,0.13393939,0.07888939,0.10969117,0.120453596,0.26153064,0.059072267,0.13492166,0.067619726
210901210713.S0806.DHZ,unknown,0.44584435,0.46313584,0.27974415,0.33940467,0.4793419,0.34377614,0.3473322,0.225958
210901215117.S0209.CHZ,unknown,0.76323575,0.725919,0.81001854,0.7634518,0.6481697,0.7343215,0.75404364,0.7315127
210901215117.S0309.DHZ,unknown,0.11315743,0.08348714,0.13110624,0.06814944,0.09757559,0.11472104,0.07860892,0.048838027
210901215117.S0409.DHZ,unknown,0.57780224,0.4842671,0.65158135,0.49835965,0.56092864,0.4919761,0.4201315,0.71052957
210901215117.S0909.DHZ,unknown,0.34574166,0.43519193,0.49414957,0.5769353,0.30581734,0.3898174,0.4349774,0.29686156
210902000244.S0209.CHZ,unknown,0.9640999,0.97284377,0.96137494,0.9583953,0.93033147,0.95044804,0.9302814,0.9693869
210902000244.S0309.DHZ,unknown,0.70772094,0.7047338,0.8377262,0.83248454,0.7518182,0.7720442,0.72323304,0.75168246
210902000244.S0409.DHZ,unknown,0.5410912,0.58143896,0.5559609,0.51879555,0.59759027,0.6302062,0.60567534,0.58188754
210902000244.S0509.DHZ,unknown,0.3331825,0.32494545,0.2415195,0.33455533,0.53621763,0.22461475,0.22604598,0.55403525
210902000244.S0709.DHZ,unknown,0.37365976,0.38974312,0.502209,0.3712573,0.3840957,0.42103028,0.4238979,0.4150765
210902000244.S0809.DHZ,unknown,0.6240252,0.61335665,0.5711232,0.60263497,0.5496956,0.5273986,0.48138592,0.53580385
210902000244.S0909.DHZ,unknown,0.4609231,0.42155397,0.5185662,0.38207522,0.45399353,0.48318136,0.43993124,0.4308009
210902000244.S1009.DHZ,unknown,0.5916354,0.4996743,0.61109203,0.61879444,0.66048265,0.5345993,0.5137847,0.6201064
210902002546.S0309.DHZ,unknown,0.6677365,0.41075045,0.42093453,0.5162141,0.43489856,0.69505775,0.3980529,0.4021358
210902002546.S0509.DHZ,unknown,0.49613824,0.5890534,0.49439105,0.55367506,0.6212043,0.5851016,0.4761854,0.57175875
210902002546.S0909.DHZ,unknown,0.5661766,0.45614764,0.5616148,0.50720763,0.60905385,0.55574286,0.57215685,0.4840263
210902002546.S1009.DHZ,unknown,0.65642333,0.5140315,0.70446545,0.6847009,0.6429741,0.62742656,0.62410086,0.45899302
210902021055.S0209.CHZ,unknown,0.76197433,0.74309546,0.7876754,0.75396276,0.7707191,0.78293496,0.82855743,0.7700686
210902021055.S0309.DHZ,unknown,0.5641934,0.32058516,0.36668423,0.55884415,0.427137,0.25933018,0.5925837,0.33733413
210902021055.S0409.DHZ,unknown,0.45608166,0.4026586,0.32865813,0.3088672,0.3276113,0.37315533,0.35145795,0.30676472
210902021055.S0509.DHZ,unknown,0.5323533,0.59445053,0.5389476,0.56790537,0.4460438,0.5342436,0.5552259,0.51422226
