traccia,y_Mano,y_predict5,y_predict6,y_predict1,y_predict7,y_predict0,y_predict2,y_predict3,y_predict4
1000111.IV.RAVA..EH,0,0.004883487,0.002749312,0.0035430656,0.0030292328,0.004531524,0.004744265,0.0034735086,0.0027509376
1000111.IV.ROVR..HH,1,0.8776342,0.86444026,0.8648907,0.90657693,0.95051205,0.853857,0.8845098,0.8717615
1000111.IV.T0820..EH,0,0.7842931,0.6452955,0.62644714,0.8248326,0.8527039,0.80138415,0.79690456,0.88070947
1000111.IV.T0821..EH,1,0.99161536,0.99604475,0.99390334,0.99387604,0.99569595,0.98835653,0.9886706,0.9920792
1000111.IV.TEOL..HH,0,0.0062413863,0.008564717,0.0077526974,0.01474284,0.007865063,0.0077161198,0.008270135,0.008651646
1000611.IV.RAVA..EH,0,0.070393115,0.056836203,0.06674838,0.07435393,0.03368361,0.040026795,0.046337847,0.04359818
1000631.IV.RAVA..EH,0,0.12589437,0.12714638,0.09273489,0.0900642,0.04714906,0.08022912,0.036423,0.032690763
1000631.IV.T0822..EH,1,0.984525,0.9782622,0.9759221,0.99050236,0.9768276,0.9682833,0.96479577,0.98384917
1000631.IV.T0825..EH,1,0.08641314,0.12537034,0.11221558,0.13659732,0.4221199,0.08584227,0.21400101,0.15403567
1000741.IV.RAVA..EH,0,0.009681196,0.0038945505,0.0074324906,0.016234234,0.0042815167,0.006051181,0.010734646,0.0038464703
1000801.IV.RAVA..EH,0,0.0051703104,0.0036152746,0.0056957793,0.00879319,0.0019174399,0.0037528153,0.0069436505,0.002211819
1001281.IV.RAVA..EH,0,0.22648105,0.16374981,0.25105017,0.225847,0.0558606,0.15046567,0.1895807,0.05964071
1001761.IV.NOVE..EH,0,0.04002982,0.01404757,0.02142961,0.033347186,0.04756636,0.034547467,0.03152713,0.025182325
1001761.IV.T0800..HH,1,0.87040025,0.90236694,0.8475718,0.9222199,0.8979609,0.85658544,0.84603375,0.8306629
1001991.IV.T0822..EH,1,0.52347016,0.49502093,0.569786,0.6124085,0.77670324,0.33812302,0.6419298,0.70169175
1002471.IV.ERBM..EH,0,0.07078298,0.03933888,0.07495642,0.034390114,0.023170337,0.05341825,0.05748497,0.038439054
1002471.IV.RAVA..EH,1,0.994505,0.99578345,0.99317366,0.99369556,0.99536985,0.991011,0.98335856,0.9937543
