traccia,y_Mano,y_predict5,y_predict6,y_predict1,y_predict7,y_predict0,y_predict2,y_predict3,y_predict4
1000111.IV.RAVA..EH,0,0.04788636,0.025885943,0.040905006,0.037705436,0.027163284,0.040593624,0.027296461,0.02819324
1000111.IV.ROVR..HH,1,0.6377449,0.43921998,0.6084908,0.5675998,0.34915936,0.5292372,0.3667559,0.5230009
1000111.IV.T0820..EH,0,0.4388269,0.38716763,0.5706454,0.42112288,0.31189418,0.386139,0.5270702,0.3960119
1000111.IV.T0821..EH,1,0.9876737,0.99105024,0.9877971,0.99412525,0.9886127,0.9806968,0.98426545,0.9923759
1000111.IV.TEOL..HH,0,0.0072295046,0.0075536584,0.010952007,0.012798928,0.0095019005,0.005971388,0.007885696,0.008120663
1000611.IV.RAVA..EH,0,0.013547771,0.016022349,0.017720763,0.020242862,0.020120123,0.0049375026,0.007118217,0.013149011
1000631.IV.RAVA..EH,0,0.21978772,0.26423407,0.19208258,0.10457232,0.070661545,0.13322704,0.25229013,0.04156259
1000631.IV.T0822..EH,1,0.7768624,0.7218144,0.84872913,0.8650678,0.57273954,0.72479165,0.479724,0.74669576
1000631.IV.T0825..EH,1,0.8004605,0.89981806,0.83198535,0.8799763,0.89978427,0.782456,0.77187693,0.90211326
1000741.IV.RAVA..EH,0,0.005470818,0.006230013,0.008986014,0.013896053,0.011666825,0.0033842076,0.005098974,0.0061712116
1000801.IV.RAVA..EH,0,0.00840044,0.008340947,0.010442313,0.013580885,0.010645458,0.0043672603,0.0065324497,0.009278299
1001281.IV.RAVA..EH,0,0.017856272,0.014844084,0.020673925,0.029480895,0.014203658,0.009841945,0.011753044,0.01502116
1001761.IV.NOVE..EH,0,0.2661005,0.20749986,0.18195526,0.294759,0.29740193,0.20017824,0.29257056,0.18772058
1001761.IV.T0800..HH,1,0.73048824,0.64443326,0.48428974,0.64168173,0.5427457,0.67781144,0.5544345,0.5398643
1001991.IV.T0822..EH,1,0.91448903,0.8941516,0.8881753,0.9211684,0.9394035,0.8606459,0.8593711,0.9350125
1002471.IV.ERBM..EH,0,0.48884684,0.47657958,0.564347,0.45947826,0.44555876,0.40304863,0.32043135,0.4230698
1002471.IV.RAVA..EH,1,0.988705,0.99301285,0.9922815,0.99553585,0.993511,0.98218864,0.98965317,0.9954181
1002471.IV.T0800..HH,1,0.95432156,0.97323847,0.9058243,0.98352885,0.9727075,0.9475087,0.9518869,0.9719982
1002471.IV.T0819..EH,0,0.094187975,0.056461982,0.085260995,0.07095919,0.057360113,0.05172125,0.046139345,0.0317301
1002471.IV.ZCCA..HH,0,0.076073304,0.088533744,0.10499541,0.21521246,0.10712103,0.11842295,0.07212969,0.077206045
1002751.IV.MAGA..HH,1,0.66025287,0.6606231,0.63577294,0.7191813,0.75892323,0.626255,0.67567426,0.71089387
1002751.IV.ROVR..HH,0,0.32606643,0.27035788,0.3490202,0.23837161,0.3394281,0.39620614,0.3085126,0.43552333
1004351.IV.ASQU..HH,1,0.98299026,0.9861201,0.97964096,0.9858802,0.9805611,0.9736608,0.9842907,0.98765856
1004351.IV.BDI..HH,0,0.009620059,0.009352877,0.009242216,0.016025342,0.020139908,0.0043209833,0.0097941235,0.01079213
1004351.IV.CRMI..HH,0,0.007319025,0.0049540796,0.00626091,0.0086582005,0.006047049,0.007069055,0.0048703053,0.003890662
1004351.IV.PLMA..HH,0,0.51506376,0.5423424,0.58363354,0.5573749,0.3494268,0.3895656,0.44962978,0.4054037
1004351.GU.POPM..HH,0,0.009246365,0.01686337,0.013586182,0.011294015,0.021618722,0.009860093,0.009429036,0.008184793
1004351.MN.VLC..HH,0,0.08425287,0.056773733,0.07143093,0.09069403,0.042633146,0.0885597,0.04977289,0.048893254
1004511.IV.NOVE..EH,0,0.094250806,0.1250032,0.12847714,0.12227017,0.073973715,0.11508305,0.10648292,0.06555053
1004511.IV.RAVA..EH,0,0.05905284,0.06312823,0.14554834,0.059066452,0.09955042,0.049726866,0.13813087,0.069108345
1004511.IV.T0819..EH,1,0.9179971,0.8795656,0.8243271,0.9010951,0.82760817,0.886556,0.83249325,0.8726086
1004511.IV.T0822..EH,1,0.87922716,0.884265,0.91341025,0.89979845,0.8030699,0.835994,0.7181395,0.8951927
1004511.IV.T0825..EH,0,0.11979268,0.060917765,0.11531165,0.12246767,0.06907695,0.105448015,0.083256,0.065315135
1005551.IV.RAVA..EH,1,0.7538609,0.6434169,0.71044916,0.8047516,0.5983202,0.7149412,0.520488,0.75674456
1006731.IV.MAGA..HH,0,0.5865378,0.4488035,0.58787715,0.59321034,0.6892196,0.5780391,0.5794591,0.49010032
1006731.IV.NOVE..EH,1,0.9779489,0.9845605,0.97935367,0.98740447,0.9784945,0.97770554,0.9815143,0.9895579
1006731.GU.POPM..HH,0,0.17010616,0.0983815,0.309394,0.2226976,0.11965418,0.23286521,0.12554549,0.12545148
1006731.IV.RAVA..EH,0,0.9911834,0.97910565,0.97771,0.98712754,0.9841649,0.98227614,0.9866186,0.98713106
1006731.IV.ROVR..HH,1,0.5327269,0.59209424,0.32766613,0.5673495,0.62099075,0.47878072,0.589767,0.54294384
1006731.IV.T0800..HH,0,0.9269811,0.93090683,0.8834749,0.9344908,0.8950765,0.89276826,0.8930408,0.8836409
1007041.IV.T0800..HH,1,0.97214353,0.9815244,0.96284544,0.9863323,0.96637785,0.96075624,0.95597905,0.9754074
1008571.IV.T0819..EH,1,0.9913316,0.99116486,0.9874834,0.9913668,0.98811054,0.98898214,0.9887839,0.9913579
1008851.IV.T0822..EH,0,0.054130938,0.033273917,0.040229484,0.04619877,0.07047957,0.02012191,0.04522394,0.017609973
1009261.IV.RAVA..EH,0,0.25601056,0.19219138,0.17335917,0.18583979,0.23128437,0.17576595,0.25144294,0.15186329
1009261.IV.T0800..HH,0,0.48122343,0.25459167,0.25664765,0.27411276,0.18947126,0.26857638,0.33295003,0.26746404
1009261.IV.T0821..EH,0,0.063190244,0.044031676,0.058718227,0.06802405,0.038806506,0.05335071,0.03145478,0.044814322
1009261.IV.ZCCA..HH,1,0.97733635,0.9832296,0.9650284,0.99409133,0.9841234,0.97679895,0.9751263,0.9852549
1009711.IV.NOVE..EH,0,0.064279415,0.042458467,0.05325274,0.047698006,0.039283633,0.032190066,0.049730435,0.029474858
1009711.IV.T0825..EH,1,0.96081644,0.96308833,0.9652575,0.9730645,0.9631622,0.9621196,0.9369286,0.95787656
1011691.IV.MSSA..HH,0,0.11690313,0.103981525,0.07677533,0.13041928,0.10710432,0.12268584,0.07581944,0.07392847
1011691.IV.PLMA..HH,1,0.87306476,0.83133894,0.8451031,0.8859701,0.8817715,0.8526799,0.8579005,0.8617785
1011691.MN.VLC..HH,0,0.025598258,0.013155548,0.025511885,0.02283432,0.022352507,0.021567993,0.014561598,0.013698752
1012001.IV.RAVA..EH,0,0.019385323,0.018368572,0.038834576,0.029876962,0.02468049,0.011678383,0.049705762,0.020234343
1014971.IV.RAVA..EH,0,0.2799938,0.2551504,0.23134708,0.18260686,0.14378265,0.23568559,0.15107295,0.16345464
1015021.IV.RAVA..EH,0,0.013780705,0.013325811,0.0119027,0.021088075,0.016433017,0.0064525767,0.008824628,0.013011687
1015641.IV.T0819..EH,1,0.99390715,0.99417347,0.9944248,0.99454486,0.9938666,0.9931316,0.9929622,0.9933723
1015721.IV.ATBU..EH,1,0.7399338,0.86007446,0.7800348,0.89373714,0.87340474,0.76077884,0.80894,0.8515016
1015721.IV.ATMC..EH,1,0.89588904,0.94028795,0.88287014,0.9177426,0.93497765,0.8369713,0.93924403,0.9584115
1015721.IV.ATMI..HH,0,0.4213191,0.3504138,0.5885679,0.43402168,0.4114197,0.52689534,0.26410604,0.41909748
1015721.IV.ATVA..EH,1,0.4085073,0.6959038,0.573985,0.7190221,0.7144956,0.24448794,0.66549146,0.74845666
1015721.IV.SSP9..EH,0,0.20841034,0.11231684,0.16808231,0.19329426,0.12701383,0.16192831,0.15151744,0.095559105
1015721.IV.TRIF..HH,1,0.01681959,0.0074258414,0.016449371,0.020598294,0.01864759,0.01004614,0.017595997,0.028213875
1015891.IV.ATMC..EH,0,0.09470349,0.09796985,0.15128154,0.16269548,0.0887415,0.09837738,0.083473325,0.1291685
1015891.IV.ATPI..EH,0,0.64942837,0.59619653,0.6497684,0.7657703,0.76551455,0.6204654,0.6928634,0.7442754
1015891.IV.SSP9..EH,0,0.22810508,0.112194106,0.15626913,0.18937947,0.29421848,0.19784333,0.17559256,0.074509166
1015931.IV.FROS..HH,1,0.9390631,0.9516892,0.9273193,0.9458954,0.90389377,0.8836119,0.92702955,0.93777734
1018091.IV.RAVA..EH,0,0.019563535,0.016196998,0.021679733,0.03248138,0.015784925,0.010205167,0.012063522,0.017756963
1018161.IV.RAVA..EH,0,0.0135499835,0.018318256,0.019062474,0.018848993,0.012761224,0.008398923,0.008773497,0.0066824355
1019451.IV.T0822..EH,1,0.288581,0.26793382,0.15499517,0.42315203,0.48919863,0.16834016,0.20608023,0.3755727
1024461.IV.ARCI..HH,0,0.25300595,0.13460745,0.17884246,0.23303778,0.1752281,0.23366627,0.17967536,0.15997688
1024461.IV.ATVO..HH,1,0.5133724,0.6335421,0.5394527,0.697921,0.73619294,0.37405258,0.6088388,0.6779058
1024461.IV.CAFI..HH,1,0.9900691,0.9921367,0.98856956,0.995832,0.9879538,0.98499334,0.99220484,0.98901576
1024461.IV.CRE..HH,1,0.8860784,0.9445016,0.8474046,0.93177944,0.932167,0.8066647,0.9196843,0.95162237
1024461.IV.FROS..HH,1,0.99358433,0.9939833,0.9924304,0.9970073,0.9933703,0.99132276,0.990053,0.99642974
1024461.IV.PARC..HH,1,0.99290997,0.99306715,0.9915631,0.9940579,0.9938543,0.989499,0.99159133,0.9937436
1025071.IV.T0825..EH,0,0.14530988,0.1347361,0.21567956,0.11451652,0.14030828,0.11085548,0.13002528,0.08010216
10253491.IV.BDI..HH,1,0.99496293,0.99650586,0.99570173,0.9971379,0.99438536,0.99538726,0.9930118,0.99671704
10253491.IV.MPPT..EH,1,0.8749669,0.78368264,0.86315835,0.85311055,0.8645762,0.90093523,0.8909801,0.8537864
10253491.IV.MTCR..EH,1,0.98916936,0.9921172,0.9904709,0.99227834,0.98850775,0.9892609,0.990449,0.99275076
1028501.IV.RAVA..EH,0,0.018654902,0.01771731,0.02327492,0.015068127,0.012664531,0.01070719,0.0074253073,0.009001752
10298611.GU.GRAM..HH,1,0.99337184,0.99342793,0.9933055,0.99634725,0.99372804,0.9936673,0.99178547,0.99425185
10299001.GU.EQUI..HH,0,0.015204649,0.0109409755,0.022465324,0.02056091,0.013637676,0.01240943,0.012037674,0.010313234
10299001.GU.GRAM..HH,1,0.99803716,0.9978612,0.9975962,0.99887425,0.9967347,0.99708503,0.99653864,0.9985421
10299341.GU.GRAM..HH,1,0.99650675,0.99534446,0.99482405,0.9975182,0.994234,0.9951509,0.9963372,0.9944723
10299341.IV.MSSA..HH,1,0.9929975,0.9919836,0.9910183,0.9940209,0.9940883,0.9880079,0.99033177,0.9946814
10299721.GU.GRAM..HH,1,0.9970734,0.9966731,0.997017,0.9983392,0.9953134,0.9969612,0.99504256,0.9972928
10299721.IV.MSSA..HH,1,0.9950997,0.99525,0.99494344,0.9963482,0.9954267,0.9952868,0.993891,0.9962346
10309171.GU.EQUI..HH,1,0.9870231,0.99078393,0.99023086,0.99423593,0.9937424,0.9869387,0.9876003,0.99509144
10309171.GU.GRAM..HH,1,0.9932487,0.99284756,0.9918777,0.9941883,0.9911471,0.99230325,0.9907184,0.99060166
10309171.IV.MSSA..HH,1,0.99054974,0.99524635,0.9909141,0.9951255,0.9931664,0.9921823,0.9923355,0.9945427
10320361.GU.GSCL..HH,1,0.9935371,0.9952733,0.99400383,0.99678683,0.99419457,0.9931566,0.9933183,0.9952638
10320361.IV.ZCCA..HH,0,0.021070722,0.021736128,0.0149391545,0.021407748,0.029062392,0.01646941,0.019757984,0.02149548
1032441.IV.BOB..HH,0,0.00463426,0.0075284126,0.007808836,0.0078279935,0.0071011,0.0034797285,0.0054873093,0.0047693863
1032441.GU.MAIM..HH,1,0.28759652,0.56092906,0.25234422,0.5353423,0.5960857,0.23574874,0.44986266,0.6795714
1032441.IV.MSSA..HH,1,0.99521756,0.9942678,0.9946536,0.99602133,0.9918852,0.99417204,0.99340653,0.99308264
1032881.IV.RAVA..EH,1,0.9350352,0.95976037,0.9589132,0.9757506,0.94722366,0.949863,0.94554013,0.95067555
1032881.IV.SERM..EH,1,0.60101485,0.43163276,0.56924635,0.52127796,0.5252468,0.5287541,0.44809455,0.52856296
1032881.IV.T0800..HH,1,0.9926589,0.9917692,0.991525,0.9935819,0.9903357,0.99328256,0.9888131,0.99097365
1032881.IV.T0822..EH,0,0.01583285,0.018631464,0.024274625,0.044564724,0.032705262,0.010628456,0.018599048,0.018561795
1033861.IV.RAVA..EH,0,0.31185752,0.11933433,0.22817218,0.1560798,0.10275293,0.16973858,0.17683361,0.17447747
1033861.IV.T0825..EH,1,0.9124089,0.96161574,0.94725406,0.97583133,0.94478124,0.9407428,0.89838743,0.97234154
1034661.IV.T0822..EH,1,0.99128914,0.9839617,0.9872803,0.9911423,0.9795456,0.98759604,0.9852711,0.9796128
1034901.IV.RAVA..EH,0,0.0104429275,0.009558036,0.014405614,0.01294905,0.012769138,0.0050886963,0.009543443,0.009871668
1035011.NI.CGRP..HH,0,0.005727321,0.00375647,0.006123457,0.0069568874,0.007122562,0.0063126264,0.00559715,0.0052204076
1035011.IV.CTI..HH,0,0.017185155,0.013288884,0.016774407,0.028524615,0.051846076,0.021048477,0.018534988,0.014252997
1035011.IV.FIU..EH,1,0.81955856,0.91923183,0.863303,0.8790897,0.89194566,0.83562416,0.8261718,0.9335444
1035011.SI.KOSI..HH,0,0.02384051,0.014672215,0.032905303,0.041933004,0.02035492,0.020329272,0.018154582,0.01823404
1035011.IV.PLMA..HH,1,0.8670269,0.9109816,0.866105,0.91176337,0.92712146,0.7729563,0.91479284,0.94001234
1035011.IV.RAVA..EH,0,0.021816185,0.012731438,0.018169055,0.034829844,0.023719173,0.008480142,0.016357211,0.021228727
1035011.IV.ROVR..HH,0,0.00256897,0.0031652101,0.002260843,0.0027805297,0.002577906,0.0014818008,0.0030662578,0.0031564012
1035011.IV.T0800..HH,1,0.9858678,0.99141604,0.9893484,0.9904868,0.97415495,0.99021345,0.9862769,0.9794971
1035011.IV.T0822..EH,1,0.9875092,0.98724073,0.9846287,0.98932964,0.9848764,0.9868324,0.9824133,0.98679847
1035011.IV.TEOL..HH,0,0.0027545297,0.0021987024,0.003452201,0.004673424,0.0043206164,0.002792006,0.0025943704,0.0042295386
1035011.IV.ZCCA..HH,0,0.1391223,0.081801414,0.06478148,0.054391198,0.062418465,0.070054546,0.0917073,0.070994906
1035061.IV.CSNT..HH,1,0.953635,0.9540522,0.93523616,0.98054427,0.9554075,0.9051043,0.94566965,0.9680635
1035061.IV.FIU..EH,0,0.18132225,0.13285677,0.2862777,0.2327408,0.27585793,0.19108577,0.23639342,0.1319319
1035061.IV.RAVA..EH,1,0.9887304,0.9908318,0.98742825,0.9927248,0.9885401,0.988171,0.9886487,0.9891766
1035061.IV.T0800..HH,1,0.98798954,0.98676795,0.9830088,0.9897071,0.96294004,0.9877885,0.981268,0.98422676
1035061.IV.T0822..EH,0,0.018130824,0.017582592,0.023560913,0.02999209,0.031485803,0.009031578,0.013329857,0.018107945
1035121.IV.RAVA..EH,0,0.022994163,0.016869893,0.03930047,0.023582319,0.017451247,0.0133820735,0.01654638,0.013988701
10351661.GU.EQUI..HH,1,0.9885796,0.9893511,0.9867727,0.99008405,0.9925222,0.9845881,0.9880072,0.9921544
