traccia,y_Mano,y_predict,delta
1000111.IV.RAVA..EH,0,0.0036210609,0.0036210608668625355
1000111.IV.ROVR..HH,1,0.8883138,0.11168622970581055
1000111.IV.T0820..EH,0,0.99265116,0.9926511645317078
1000111.IV.T0821..EH,1,0.9991148,0.0008851885795593262
1000111.IV.TEOL..HH,0,0.003293909,0.0032939088996499777
1000611.IV.RAVA..EH,0,0.0011085813,0.0011085813166573644
1000631.IV.RAVA..EH,0,0.0018561638,0.0018561638426035643
1000631.IV.T0822..EH,1,0.9996679,0.00033211708068847656
1000631.IV.T0825..EH,1,0.9874822,0.012517809867858887
1000741.IV.RAVA..EH,0,0.00038716118,0.00038716118433512747
1000801.IV.RAVA..EH,0,0.0008795279,0.0008795278845354915
1001281.IV.RAVA..EH,0,0.0009616966,0.0009616966126486659
1001761.IV.NOVE..EH,0,0.0012863238,0.0012863237643614411
1001761.IV.T0800..HH,1,0.99690384,0.003096163272857666
1001991.IV.T0822..EH,1,0.9993105,0.0006895065307617188
1002471.IV.ERBM..EH,0,0.0021218613,0.0021218613255769014
1002471.IV.RAVA..EH,1,0.99809676,0.001903235912322998
1002471.IV.T0800..HH,1,0.9994318,0.0005682110786437988
1002471.IV.T0819..EH,0,0.001634717,0.0016347169876098633
1002471.IV.ZCCA..HH,0,0.0013978134,0.0013978134375065565
1002751.IV.MAGA..HH,1,0.9848451,0.015154898166656494
1002751.IV.ROVR..HH,0,0.009694375,0.009694375097751617
1004351.IV.ASQU..HH,1,0.99684674,0.0031532645225524902
1004351.IV.BDI..HH,0,0.0010694396,0.0010694395750761032
1004351.IV.CRMI..HH,0,0.005431957,0.0054319570772349834
1004351.IV.PLMA..HH,0,0.0034173392,0.00341733917593956
1004351.GU.POPM..HH,0,0.035136368,0.03513636812567711
1004351.MN.VLC..HH,0,0.09991409,0.09991408884525299
1004511.IV.NOVE..EH,0,0.0014949662,0.0014949662145227194
1004511.IV.RAVA..EH,0,0.00028965363,0.000289653631625697
1004511.IV.T0819..EH,1,0.9671883,0.03281170129776001
1004511.IV.T0822..EH,1,0.9992207,0.000779271125793457
1004511.IV.T0825..EH,0,0.0019379421,0.0019379421137273312
1005551.IV.RAVA..EH,1,0.9982494,0.0017505884170532227
1006731.IV.MAGA..HH,0,0.01915018,0.019150180742144585
1006731.IV.NOVE..EH,1,0.9996649,0.0003350973129272461
