trace_name,indice_csv
11030611.IV.T1202..EH,13
11030611.IV.T1216..EH,23
11030611.IV.T1241..EH,35
11030611.IV.T1256..HH,45
11030911.IV.CSP1..EH,53
11030911.IV.T1219..EH,62
11031361.IV.RM33..EH,85
11032751.XO.AM05..EH,103
11032751.IV.CSP1..EH,132
11032751.IV.FIAM..HH,136
11032751.IV.GUMA..HH,145
11032751.IV.LNSS..HH,150
11032751.IV.RM33..EH,172
11032751.IV.SMA1..EH,177
11032751.IV.T1202..EH,185
11032751.IV.T1204..EH,186
11032751.IV.T1218..EH,199
11032751.IV.T1220..EH,203
11032751.IV.T1241..EH,207
11032751.IV.T1247..HH,215
11032751.IV.T1256..HH,216
11032751.IV.T1299..EH,218
11033161.IV.CESI..HH,242
11033161.IV.CSP1..EH,243
11033161.IV.GUMA..HH,246
11033161.IV.T1216..EH,257
11033161.IV.T1245..HH,261
11033871.IV.LNSS..HH,269
11033871.IV.SMA1..EH,272
11034421.IV.NRCA..HH,293
11035181.IV.LNSS..HH,301
11035491.IV.CESI..HH,314
11035491.IV.GUMA..HH,321
11035491.IV.T1215..EH,328
11036421.IV.CESI..HH,349
11036421.IV.FDMO..HH,354
11036421.IV.MC2..EH,367
11036421.IV.T1215..EH,399
11036421.IV.T1216..EH,401
11036421.IV.T1217..EH,403
11036421.IV.T1219..EH,407
11036421.IV.T1221..EH,411
11036421.IV.T1245..HH,419
11036421.IV.T1256..HH,421
11036421.IV.T1299..EH,423
11041421.IV.T1256..HH,448
11041511.IV.CESI..HH,462
11041511.IV.CESX..HH,463
11041511.IV.CING..HH,464
11041511.IV.CSP1..EH,465
11041511.IV.FDMO..HH,466
11041511.IV.GUMA..HH,472
11041511.IV.LNSS..HH,474
11041511.IV.NRCA..HH,485
11041511.IV.T1204..EH,500
11041511.IV.T1212..EH,501
11041511.IV.T1215..EH,505
11041511.IV.T1216..EH,507
11041511.IV.T1217..EH,509
11041511.IV.T1218..EH,511
11041511.IV.T1219..EH,513
11041511.IV.T1221..EH,517
11041511.IV.T1241..EH,519
11041511.IV.T1244..EH,523
11041511.IV.T1245..HH,525
11041511.IV.T1256..HH,527
11041921.IV.AOI..HH,536
11041921.IV.ARRO..EH,541
11041921.IV.CESI..HH,561
11041921.IV.CESX..HH,562
11041921.IV.CING..HH,564
11041921.IV.CSP1..EH,567
11041921.IV.FDMO..HH,569
11041921.IV.GUMA..HH,580
11041921.IV.PP3..EH,603
11041921.IV.T1215..EH,622
11041921.IV.T1216..EH,624
11041921.IV.T1217..EH,626
11041921.IV.T1221..EH,634
11043661.IV.MC2..EH,653
11043661.IV.T1216..EH,656
11043661.IV.T1245..HH,662
11044641.OX.MPRI..HH,671
11047891.IV.T1256..HH,691
11048291.IV.LNSS..HH,773
11048461.XO.AM05..EH,789
11048461.IV.MC2..EH,849
11048461.IV.NRCA..HH,863
11048461.IV.T1215..EH,895
11048461.IV.T1217..EH,899
11048461.IV.T1221..EH,905
11048461.IV.T1241..EH,907
11048461.IV.T1244..EH,911
11048461.IV.T1245..HH,913
11048461.IV.T1256..HH,917
11052061.IV.CSP1..EH,938
11052061.IV.GUMA..HH,947
11052061.IV.RM33..EH,962
11052061.IV.T1218..EH,982
11052061.IV.T1241..EH,988
11052061.IV.T1256..HH,997
11052191.MN.AQU..HH,1001
11052191.IV.CAMP..HH,1003
11052191.IV.T1243..HH,1008
1105251.GU.BHB..HH,1014
1105251.GU.STV..HH,1023
11052631.IV.ASSB..HH,1024
11052631.IV.LNSS..HH,1028
11052631.IV.MC2..EH,1029
11052631.IV.MMO1..EH,1030
11052631.IV.T1215..EH,1036
11052631.IV.T1245..HH,1044
11053641.IV.GIGS..HH,1149
11053641.IV.LNSS..HH,1150
11053641.IV.MMO1..EH,1152
11053641.IV.RM33..EH,1156
11053641.IV.T1218..EH,1164
11053641.IV.T1241..EH,1166
11053641.IV.T1243..HH,1168
11054551.IV.T1241..EH,1196
11054551.IV.T1256..HH,1202
1105901.IV.JOPP..HH,1240
11059921.IV.CSP1..EH,1248
11059921.IV.T1216..EH,1256
11061071.IV.CRMI..HH,1270
11061071.IV.RUFI..EH,1287
11062361.IV.T1215..EH,1345
11062411.IV.EPZF..HH,1365
11062411.IV.MSFR..HH,1377
11062411.IV.RAFF..HH,1383
11063111.IV.CSP1..EH,1387
11063111.IV.GUMA..HH,1389
11063111.IV.LNSS..HH,1391
11063111.IV.NRCA..HH,1395
11063111.IV.T1215..EH,1397
11063111.IV.T1216..EH,1399
11066061.IV.CAMP..HH,1412
11066061.IV.RM33..EH,1416
11066061.IV.T1218..EH,1423
11066061.IV.T1243..HH,1426
11067221.IV.CAMP..HH,1439
11067221.IV.CESI..HH,1441
11067221.IV.CSP1..EH,1444
11067221.IV.FDMO..HH,1447
11067221.IV.GUMA..HH,1455
11067221.IV.NRCA..HH,1468
11067221.IV.OFFI..HH,1470
11067221.IV.SMA1..EH,1476
11067221.IV.T1215..EH,1490
11067221.IV.T1216..EH,1492
11067221.IV.T1218..EH,1496
11067221.IV.T1241..EH,1502
11067221.IV.T1243..HH,1503
11069371.IV.ARRO..EH,1522
11069371.IV.LNSS..HH,1527
11069371.IV.MC2..EH,1528
11069371.IV.T1215..EH,1533
11069371.IV.T1218..EH,1537
11069371.IV.T1245..HH,1542
11069371.IV.T1256..HH,1544
11070401.IV.T1256..HH,1576
11071881.IV.CAMP..HH,1666
11071881.IV.LNSS..HH,1670
11071881.IV.MMO1..EH,1671
11071881.IV.T1243..HH,1685
11072091.IV.CAMP..HH,1692
11072091.IV.LNSS..HH,1694
11072091.IV.RM33..EH,1699
11072091.IV.SMA1..EH,1701
11072441.IV.CAMP..HH,1716
11072811.IV.ASSB..HH,1729
11072811.IV.MPAG..EH,1743
11072811.IV.PIEI..HH,1747
11072811.IV.SNTG..HH,1752
11074721.IV.CSP1..EH,1782
11074721.IV.GIGS..HH,1786
11074721.IV.LNSS..HH,1791
11074721.IV.RM33..EH,1795
11074721.IV.SMA1..EH,1797
11074721.IV.T1215..EH,1799
11074721.IV.T1245..HH,1806
11074721.IV.TERO..HH,1811
11075851.IV.CSP1..EH,1814
11076371.IV.CAMP..HH,1820
11076371.IV.LNSS..HH,1821
11076371.IV.SMA1..EH,1829
11076371.IV.T1218..EH,1832
11076371.IV.T1243..HH,1834
11076521.IV.CAMP..HH,1843
11076521.IV.CSP1..EH,1844
11076521.IV.GUMA..HH,1849
11076521.IV.LNSS..HH,1851
11076521.IV.RM33..EH,1857
11076521.IV.SMA1..EH,1859
11076521.IV.T1215..EH,1861
11076521.IV.T1218..EH,1865
11076521.IV.T1219..EH,1867
11076521.IV.T1243..HH,1870
1107801.IV.PLAC..HH,1884
11079441.IV.CAMP..HH,1933
11079441.IV.LNSS..HH,1935
11079441.IV.RM33..EH,1940
11079441.IV.SMA1..EH,1942
11079441.IV.T1218..EH,1948
11079441.IV.T1243..HH,1952
11079441.IV.TERO..HH,1959
1108181.IV.RAVA..EH,1992
1108181.IV.T0819..EH,1999
11083921.IV.MC2..EH,2020
11083921.IV.RM33..EH,2025
11083921.IV.T1241..EH,2035
11084171.IV.LNSS..HH,2046
11084171.IV.T1243..HH,2066
11085571.IV.ATFO..HH,2103
11087951.IV.GUMA..HH,2179
1108961.IV.HVZN..HH,2205
11098301.IV.CESI..HH,2265
11098301.IV.CSP1..EH,2266
11098301.IV.GUMA..HH,2271
11098301.IV.MMO1..EH,2276
11098301.IV.NRCA..HH,2278
11098301.IV.T1216..EH,2285
11098301.IV.T1219..EH,2289
1109861.IV.T0819..EH,2311
11098721.IV.LNSS..HH,2339
11098721.IV.RM33..EH,2346
11098721.IV.T1218..EH,2372
11098721.IV.T1245..HH,2384
1109901.IV.T0819..EH,2414
11099711.IV.NRCA..HH,2422
1110111.IV.T0800..HH,2449
1110111.IV.T0819..EH,2452
1110151.IV.ARVD..HH,2460
1110151.IV.PE3..EH,2488
11101871.IV.CSP1..EH,2498
11101871.IV.GUMA..HH,2502
11103591.IV.CSP1..EH,2522
11103591.IV.T1215..EH,2528
11103591.IV.T1216..EH,2530
11105061.IV.RM33..EH,2558
11105061.IV.T1241..EH,2581
11105061.IV.T1247..HH,2589
11107161.IV.ATCC..EH,2622
11107161.IV.CESI..HH,2625
11107161.IV.CSP1..EH,2627
11107161.IV.GUMA..HH,2629
11107161.IV.NRCA..HH,2635
11107161.IV.OFFI..HH,2637
11107161.IV.T1211..EH,2641
11107161.IV.T1216..EH,2645
11107161.IV.T1218..EH,2647
11107161.IV.T1241..EH,2651
11108831.IV.CAMP..HH,2674
11108831.IV.CESI..HH,2675
11108831.IV.FDMO..HH,2679
11108831.IV.LNSS..HH,2684
11108831.IV.MMO1..EH,2685
11108831.IV.NRCA..HH,2687
11108831.IV.OFFI..HH,2689
11108831.IV.RM33..EH,2690
11108831.IV.T1215..EH,2697
11108831.IV.T1216..EH,2699
11108831.IV.T1218..EH,2701
11108831.IV.T1243..HH,2705
11108831.IV.T1245..HH,2707
11109121.IV.ACER..HH,2713
11109121.TV.AG11..EH,2715
11109121.IV.CAFE..HH,2724
11109121.IV.CMPR..HH,2737
11109121.MN.CUC..HH,2741
11109121.IV.MCEL..HH,2756
11109121.IV.MTSN..HH,2777
11109121.IV.PALZ..HH,2780
11109121.IV.PTRP..HH,2790
11109121.BA.PZUN..HH,2791
11109121.IV.SCHR..EH,2801
11109121.IV.SIRI..HH,2805
11109121.IV.SLCN..HH,2807
11109121.IV.VULT..HH,2824
11109791.IV.LNSS..HH,2835
11109791.IV.RM33..EH,2838
11111771.MN.AQU..HH,2856
11111771.IV.ARRO..EH,2858
11111771.IV.CESX..HH,2860
11111771.IV.FDMO..HH,2862
11111771.IV.FIAM..HH,2863
11111771.IV.GIGS..HH,2865
11111771.IV.GUMA..HH,2866
11111771.IV.LNSS..HH,2868
11111771.IV.MC2..EH,2869
11111771.IV.NRCA..HH,2872
11111771.IV.RM33..EH,2874
11111771.IV.SMA1..EH,2876
11111771.IV.T1211..EH,2878
11111771.IV.T1215..EH,2880
11111771.IV.T1218..EH,2884
11111771.IV.T1241..EH,2886
11111771.IV.T1243..HH,2887
11111771.IV.T1245..HH,2889
11111771.IV.T1247..HH,2891
11111771.IV.T1256..HH,2892
11111951.IV.ARRO..EH,2895
11111951.IV.CAMP..HH,2899
11111951.IV.CESI..HH,2900
11111951.IV.CESX..HH,2901
11111951.IV.LNSS..HH,2909
11111951.IV.MMO1..EH,2911
11111951.IV.NRCA..HH,2913
11111951.IV.RM33..EH,2918
11111951.IV.T0110..HH,2924
11111951.IV.T1211..EH,2925
11111951.IV.T1215..EH,2927
11111951.IV.T1218..EH,2931
11111951.IV.T1241..EH,2935
11111951.IV.TERO..HH,2944
11112661.IV.T1241..EH,2958
11112901.IV.ARRO..EH,2966
11112901.IV.CAMP..HH,2967
11112901.IV.FIAM..HH,2970
11112901.IV.GIGS..HH,2972
11112901.IV.LNSS..HH,2973
11112901.IV.MMO1..EH,2974
11112901.IV.SMA1..EH,2980
11112901.IV.T0110..HH,2981
11112901.IV.T1211..EH,2982
11112901.IV.T1215..EH,2984
11112901.IV.T1216..EH,2986
11112901.IV.T1241..EH,2990
11112901.IV.T1243..HH,2992
11112901.IV.T1247..HH,2996
11112901.IV.TERO..HH,2997
11113371.IV.SMA1..EH,3004
11113591.IV.LNSS..HH,3011
11113591.IV.RM33..EH,3015
11113591.IV.SMA1..EH,3017
11113591.IV.T1211..EH,3018
11113591.IV.T1243..HH,3028
11113591.IV.T1247..HH,3030
11113591.IV.TERO..HH,3031
11115611.IV.CESI..HH,3035
11115611.IV.MC2..EH,3038
11115611.IV.T1241..EH,3051
11115921.IV.CIGN..HH,3065
11117741.IV.GUMA..HH,3109
11117741.IV.LNSS..HH,3111
11117741.IV.T1211..EH,3117
11117741.IV.T1215..EH,3119
11117901.IV.ATVO..HH,3141
11117901.IV.CPGN..EH,3146
11117901.IV.CRE..HH,3147
11117901.IV.FSSB..HH,3152
11117901.IV.PIEI..HH,3159
11117901.IV.SSP9..EH,3166
1111831.IV.ZCCA..HH,3181
11119181.IV.LNSS..HH,3196
11119181.IV.RM33..EH,3201
11119181.IV.T1211..EH,3207
11119181.IV.T1218..EH,3215
11119181.IV.T1241..EH,3217
11119181.IV.T1247..HH,3223
11122131.IV.CAFE..HH,3260
11124111.IV.CSP1..EH,3275
11124111.IV.GIGS..HH,3278
11124111.IV.GUMA..HH,3279
11124111.IV.LNSS..HH,3281
11124111.IV.MC2..EH,3282
11124111.IV.OFFI..HH,3285
11124111.IV.T1215..EH,3291
11124111.IV.T1219..EH,3297
1112451.GU.RORO..HH,3304
11124611.IV.T1211..EH,3310
11124611.IV.TERO..HH,3319
11124741.IV.CESI..HH,3322
11124741.IV.T1215..EH,3331
11124741.IV.T1216..EH,3333
11124741.IV.T1218..EH,3335
11124741.IV.T1219..EH,3337
11125051.IV.LNSS..HH,3348
11125051.IV.NRCA..HH,3349
11125051.IV.T1241..EH,3360
11125051.IV.T1245..HH,3363
11125461.IV.ARRO..EH,3367
11125461.IV.CAMP..HH,3370
11125461.IV.CSP1..EH,3375
11125461.IV.FIAM..HH,3378
11125461.IV.GIGS..HH,3380
11125461.IV.GUMA..HH,3381
11125461.IV.LNSS..HH,3385
11125461.IV.RM33..EH,3393
11125461.IV.SMA1..EH,3395
11125461.IV.T1204..EH,3402
11125461.IV.T1211..EH,3403
11125461.IV.T1241..EH,3421
11125461.IV.T1243..HH,3423
11125461.IV.T1244..EH,3425
11125461.IV.T1246..HH,3429
11125461.IV.T1247..HH,3430
11125461.IV.TERO..HH,3435
11125821.IV.CESI..HH,3438
11125821.IV.NRCA..HH,3449
1112611.IV.ATMC..EH,3467
1112611.IV.ATPC..HH,3469
1112611.IV.ATPI..EH,3471
1112611.IV.ATVO..HH,3473
1112611.IV.MURB..HH,3489
1112611.IV.PARC..HH,3492
1112611.IV.PE3..EH,3493
1112611.IV.PIEI..HH,3494
1112761.IV.ARVD..HH,3498
11129801.IV.ARRO..EH,3577
11129801.IV.CAFI..HH,3594
11129801.IV.CAMP..HH,3596
11129801.IV.CESX..HH,3598
11129801.IV.CING..HH,3599
11129801.IV.EL6..EH,3605
11129801.IV.FAGN..HH,3606
11129801.IV.GUMA..HH,3617
11129801.IV.LNSS..HH,3622
11129801.IV.MC2..EH,3623
11129801.IV.MMO1..EH,3627
11129801.IV.NRCA..HH,3638
11129801.IV.SSFR..HH,3659
11129801.IV.T1204..EH,3664
11129801.IV.T1211..EH,3665
11129801.IV.T1212..EH,3667
11129801.IV.T1215..EH,3671
11129801.IV.T1216..EH,3673
11129801.IV.T1217..EH,3675
11129801.IV.T1218..EH,3677
11129801.IV.T1243..HH,3685
11129801.IV.T1244..EH,3687
11129801.IV.T1245..HH,3689
11129801.IV.T1246..HH,3691
11129801.IV.T1247..HH,3692
11129801.IV.T1256..HH,3693
11129801.IV.T1299..EH,3695
11129801.IV.TERO..HH,3697
1112991.IV.NOVE..EH,3703
11130151.IV.ASSB..HH,3706
11130151.IV.CESI..HH,3710
11130151.IV.CING..HH,3711
11130151.IV.EL6..EH,3713
11130151.IV.FOSV..EH,3716
11130151.IV.GUMA..HH,3719
11130151.IV.LNSS..HH,3721
11130151.IV.SSFR..HH,3731
11130151.IV.T1215..EH,3733
11130151.IV.T1216..EH,3735
11130151.IV.T1218..EH,3737
11130151.IV.T1241..EH,3741
11130151.IV.T1245..HH,3745
11130921.IV.NRCA..HH,3777
11130921.IV.RM33..EH,3781
11130921.IV.T1215..EH,3795
11130921.IV.T1245..HH,3810
1113431.IV.ATBU..EH,3816
1113431.IV.ATVO..HH,3820
1113661.IV.ZCCA..HH,3837
11138771.IV.AOI..HH,3844
11138771.IV.ARRO..EH,3845
11138771.IV.ARVD..HH,3846
11138771.IV.ASSB..HH,3847
11138771.IV.ATCC..EH,3848
11138771.IV.ATFO..HH,3850
11138771.IV.ATLO..EH,3852
11138771.IV.ATPI..EH,3857
11138771.IV.ATVO..HH,3860
11138771.IV.CESI..HH,3866
11138771.IV.CESX..HH,3867
11138771.IV.CING..HH,3868
11138771.IV.CSP1..EH,3870
11138771.IV.FSSB..HH,3878
11138771.IV.GUMA..HH,3881
11138771.IV.LNSS..HH,3883
11138771.IV.MMO1..EH,3887
11138771.IV.MURB..HH,3892
11138771.IV.NRCA..HH,3894
11138771.IV.SNTG..HH,3905
11138771.IV.T1212..EH,3916
11138771.IV.T1215..EH,3920
11138771.IV.T1216..EH,3922
11138771.IV.T1218..EH,3926
11138771.IV.T1219..EH,3928
11138771.IV.T1221..EH,3930
11138771.IV.T1241..EH,3932
11138771.IV.T1256..HH,3941
11142251.IV.LNSS..HH,3976
11142251.IV.RM33..EH,3984
11142251.IV.T1215..EH,3999
11142251.IV.T1218..EH,4005
11142251.IV.T1241..EH,4011
11142251.IV.T1244..EH,4015
11142251.IV.T1246..HH,4019
11142251.IV.T1256..HH,4021
1114321.IV.RAVA..EH,4037
11143781.IV.MC2..EH,4049
11143781.IV.T1219..EH,4064
11146591.IV.ATCC..EH,4094
11146591.IV.CESI..HH,4104
11146591.IV.CESX..HH,4105
11146591.IV.CING..HH,4106
11146591.IV.EL6..EH,4109
11146591.IV.FOSV..EH,4113
11146591.IV.GUMA..HH,4119
11146591.IV.MMO1..EH,4124
11146591.IV.SNTG..HH,4140
11146591.IV.T1215..EH,4153
11146591.IV.T1221..EH,4163
11146591.IV.T1256..HH,4173
11146591.IV.TERO..HH,4177
11147811.IV.APEC..HH,4219
11147811.IV.ARVD..HH,4221
11147811.IV.ATFO..HH,4224
11147811.IV.ATPI..EH,4228
11147811.IV.ATVO..HH,4230
11147811.IV.CAFI..HH,4233
11147811.IV.CESX..HH,4237
11147811.IV.FOSV..EH,4250
11147811.IV.FSSB..HH,4253
11147811.IV.GUMA..HH,4255
11147811.IV.MURB..HH,4272
11147811.IV.T1211..EH,4295
11147811.IV.T1216..EH,4303
11147811.IV.T1245..HH,4317
11147811.IV.T1299..EH,4323
11148041.IV.ATCC..EH,4330
11148041.IV.ATPI..EH,4334
11148041.IV.ATVO..HH,4336
11148041.IV.CESI..HH,4338
11148041.IV.CESX..HH,4339
11148041.IV.T1215..EH,4388
11148041.IV.T1216..EH,4390
11148041.IV.T1221..EH,4398
11148431.IV.ARVD..HH,4412
11148431.IV.GUMA..HH,4423
11148431.IV.T1215..EH,4440
11148431.IV.T1256..HH,4451
11151081.IV.MC2..EH,4520
11151081.IV.MMO1..EH,4521
11151081.IV.T1215..EH,4527
11152091.IV.CAMP..HH,4546
11152091.IV.LNSS..HH,4551
11152091.IV.MMO1..EH,4552
11152091.IV.RM33..EH,4557
11152091.IV.SMA1..EH,4559
11152091.IV.T1243..HH,4565
11152091.IV.TERO..HH,4572
11153901.IV.CAMP..HH,4583
11153901.IV.CSP1..EH,4588
11153901.IV.FIAM..HH,4591
11153901.IV.LNSS..HH,4598
11153901.IV.MMO1..EH,4600
11153901.IV.RM33..EH,4606
11153901.IV.SMA1..EH,4608
11153901.IV.T1204..EH,4614
11153901.IV.T1211..EH,4615
11153901.IV.T1241..EH,4633
11153901.IV.T1243..HH,4635
11153901.IV.T1245..HH,4639
11153901.IV.T1246..HH,4641
11153901.IV.T1247..HH,4642
11153901.IV.TERO..HH,4647
11154271.IV.T1256..HH,4680
11158391.IV.ARRO..EH,4695
11158391.IV.CAMP..HH,4699
11158391.IV.CSP1..EH,4701
11158391.IV.FIAM..HH,4704
11158391.IV.GUMA..HH,4707
11158391.IV.LNSS..HH,4711
11158391.IV.MMO1..EH,4713
11158391.IV.OFFI..HH,4715
11158391.IV.SMA1..EH,4718
11158391.IV.SRES..HH,4719
11158391.IV.T1204..EH,4723
11158391.IV.T1211..EH,4724
11158391.IV.T1215..EH,4730
11158391.IV.T1241..EH,4742
11158391.IV.T1243..HH,4744
11158391.IV.T1245..HH,4748
11158391.IV.T1246..HH,4750
11158391.IV.T1247..HH,4751
11158391.IV.T1256..HH,4752
11158391.IV.TERO..HH,4756
11158781.IV.CSP1..EH,4760
11158781.IV.EL6..EH,4761
11158781.IV.LNSS..HH,4763
11158781.IV.T1215..EH,4770
11158781.IV.T1219..EH,4774
11158781.IV.T1243..HH,4777
