traccia,y_Mano,y_predict,delta
1000111.IV.RAVA..EH,0,0.00195809,0.0019580901134759188
1000111.IV.ROVR..HH,1,0.9797483,0.020251691341400146
1000111.IV.T0820..EH,0,0.9331935,0.9331935048103333
1000111.IV.T0821..EH,1,0.999542,0.00045800209045410156
1000111.IV.TEOL..HH,0,0.0021927205,0.002192720538005233
1000611.IV.RAVA..EH,0,0.0008592555,0.0008592554950155318
1000631.IV.RAVA..EH,0,0.0016833631,0.001683363108895719
1000631.IV.T0822..EH,1,0.9967539,0.003246128559112549
1000631.IV.T0825..EH,1,0.99629503,0.003704965114593506
1000741.IV.RAVA..EH,0,0.00025710522,0.0002571052173152566
1000801.IV.RAVA..EH,0,0.00032060928,0.00032060928060673177
1001281.IV.RAVA..EH,0,0.0007460216,0.0007460215711034834
1001761.IV.NOVE..EH,0,0.0049610403,0.004961040336638689
1001761.IV.T0800..HH,1,0.99204636,0.007953643798828125
1001991.IV.T0822..EH,1,0.9987735,0.0012264847755432129
1002471.IV.ERBM..EH,0,0.023635788,0.02363578788936138
1002471.IV.RAVA..EH,1,0.9990626,0.0009374022483825684
1002471.IV.T0800..HH,1,0.99922884,0.0007711648941040039
1002471.IV.T0819..EH,0,0.0011963877,0.0011963876895606518
1002471.IV.ZCCA..HH,0,0.008283031,0.008283031173050404
1002751.IV.MAGA..HH,1,0.9949884,0.005011618137359619
1002751.IV.ROVR..HH,0,0.12147899,0.12147898972034454
1004351.IV.ASQU..HH,1,0.9852003,0.014799714088439941
1004351.IV.BDI..HH,0,0.00069273904,0.0006927390350028872
1004351.IV.CRMI..HH,0,0.003423989,0.003423989051952958
1004351.IV.PLMA..HH,0,0.01826383,0.01826382987201214
1004351.GU.POPM..HH,0,0.005000742,0.00500074215233326
1004351.MN.VLC..HH,0,0.1018462,0.10184620320796967
1004511.IV.NOVE..EH,0,0.0028026404,0.0028026404324918985
1004511.IV.RAVA..EH,0,0.00084243476,0.0008424347615800798
1004511.IV.T0819..EH,1,0.99517787,0.004822134971618652
1004511.IV.T0822..EH,1,0.99826944,0.0017305612564086914
1004511.IV.T0825..EH,0,0.0021454298,0.002145429840311408
1005551.IV.RAVA..EH,1,0.9927522,0.007247805595397949
1006731.IV.MAGA..HH,0,0.038835928,0.038835927844047546
1006731.IV.NOVE..EH,1,0.9996979,0.0003020763397216797
1006731.GU.POPM..HH,0,0.0101152025,0.010115202516317368
1006731.IV.RAVA..EH,0,0.014778741,0.0147787407040596
1006731.IV.ROVR..HH,1,0.997656,0.0023440122604370117
1006731.IV.T0800..HH,0,0.04903361,0.04903360828757286
1007041.IV.T0800..HH,1,0.9989706,0.001029372215270996
1008571.IV.T0819..EH,1,0.99637127,0.0036287307739257812
1008851.IV.T0822..EH,0,0.002020723,0.0020207229536026716
1009261.IV.RAVA..EH,0,0.00554352,0.005543520208448172
1009261.IV.T0800..HH,0,0.007633799,0.007633799221366644
1009261.IV.T0821..EH,0,0.0015407505,0.0015407504979521036
1009261.IV.ZCCA..HH,1,0.99852633,0.0014736652374267578
1009711.IV.NOVE..EH,0,0.0009455181,0.0009455180843360722
1009711.IV.T0825..EH,1,0.9956713,0.004328727722167969
1011691.IV.MSSA..HH,0,0.029897291,0.029897291213274002
1011691.IV.PLMA..HH,1,0.9872853,0.012714684009552002
1011691.MN.VLC..HH,0,0.023239993,0.023239992558956146
1012001.IV.RAVA..EH,0,0.0006404396,0.0006404396262951195
1014971.IV.RAVA..EH,0,0.0068286164,0.006828616373240948
1015021.IV.RAVA..EH,0,0.0005957922,0.0005957921966910362
1015641.IV.T0819..EH,1,0.99777204,0.002227962017059326
1015721.IV.ATBU..EH,1,0.9604843,0.039515674114227295
1015721.IV.ATMC..EH,1,0.9987649,0.0012351274490356445
1015721.IV.ATMI..HH,0,0.0016530746,0.0016530746361240745
1015721.IV.ATVA..EH,1,0.9979108,0.002089202404022217
1015721.IV.SSP9..EH,0,0.0012499058,0.0012499057920649648
1015721.IV.TRIF..HH,1,0.96699184,0.0330081582069397
1015891.IV.ATMC..EH,0,0.004215884,0.004215884022414684
1015891.IV.ATPI..EH,0,0.0046621854,0.004662185441702604
1015891.IV.SSP9..EH,0,0.0027379692,0.002737969160079956
1015931.IV.FROS..HH,1,0.99961793,0.0003820657730102539
1018091.IV.RAVA..EH,0,0.0009717034,0.0009717033826746047
1018161.IV.RAVA..EH,0,0.0014833686,0.0014833685709163547
1019451.IV.T0822..EH,1,0.74442536,0.25557464361190796
1024461.IV.ARCI..HH,0,0.00610524,0.0061052399687469006
1024461.IV.ATVO..HH,1,0.9978638,0.0021361708641052246
1024461.IV.CAFI..HH,1,0.99812776,0.001872241497039795
1024461.IV.CRE..HH,1,0.9990833,0.0009167194366455078
1024461.IV.FROS..HH,1,0.9993087,0.0006912946701049805
1024461.IV.PARC..HH,1,0.9976801,0.0023198723793029785
1025071.IV.T0825..EH,0,0.001937681,0.0019376809941604733
10253491.IV.BDI..HH,1,0.99892586,0.0010741353034973145
10253491.IV.MPPT..EH,1,0.5249914,0.47500860691070557
10253491.IV.MTCR..EH,1,0.99933225,0.0006677508354187012
1028501.IV.RAVA..EH,0,0.001803103,0.0018031030194833875
10298611.GU.GRAM..HH,1,0.9989416,0.0010583996772766113
10299001.GU.EQUI..HH,0,0.0020795697,0.002079569734632969
10299001.GU.GRAM..HH,1,0.99959713,0.00040286779403686523
10299341.GU.GRAM..HH,1,0.99913436,0.000865638256072998
10299341.IV.MSSA..HH,1,0.9980488,0.0019512176513671875
10299721.GU.GRAM..HH,1,0.9982743,0.0017256736755371094
10299721.IV.MSSA..HH,1,0.99920744,0.0007925629615783691
10309171.GU.EQUI..HH,1,0.9970132,0.0029867887496948242
10309171.GU.GRAM..HH,1,0.99949396,0.0005060434341430664
10309171.IV.MSSA..HH,1,0.99814856,0.0018514394760131836
10320361.GU.GSCL..HH,1,0.99892116,0.0010788440704345703
10320361.IV.ZCCA..HH,0,0.0042969086,0.004296908620744944
1032441.IV.BOB..HH,0,0.0017181729,0.0017181729199364781
1032441.GU.MAIM..HH,1,0.9984396,0.0015603899955749512
1032441.IV.MSSA..HH,1,0.99842036,0.0015796422958374023
1032881.IV.RAVA..EH,1,0.9983368,0.0016632080078125
1032881.IV.SERM..EH,1,0.9323403,0.06765967607498169
1032881.IV.T0800..HH,1,0.9974371,0.002562880516052246
1032881.IV.T0822..EH,0,0.0011028344,0.001102834357880056
