traccia,y_Mano,y_predict,delta
1000111.IV.RAVA..EH,0,0.0037357572,0.0037357572000473738
1000111.IV.ROVR..HH,1,0.9859185,0.014081478118896484
1000111.IV.T0820..EH,0,0.9753607,0.9753606915473938
1000111.IV.T0821..EH,1,0.9993511,0.0006489157676696777
1000111.IV.TEOL..HH,0,0.0054230713,0.005423071328550577
1000611.IV.RAVA..EH,0,0.0040236474,0.004023647401481867
1000631.IV.RAVA..EH,0,0.0015786513,0.0015786512522026896
1000631.IV.T0822..EH,1,0.9998759,0.00012409687042236328
1000631.IV.T0825..EH,1,0.9889094,0.011090576648712158
1000741.IV.RAVA..EH,0,0.0017428112,0.0017428111750632524
1000801.IV.RAVA..EH,0,0.0021723423,0.0021723422687500715
1001281.IV.RAVA..EH,0,0.002477411,0.0024774109479039907
1001761.IV.NOVE..EH,0,0.003062584,0.0030625839717686176
1001761.IV.T0800..HH,1,0.99809057,0.0019094347953796387
1001991.IV.T0822..EH,1,0.9996172,0.0003827810287475586
1002471.IV.ERBM..EH,0,0.006990016,0.006990015972405672
1002471.IV.RAVA..EH,1,0.99807906,0.001920938491821289
1002471.IV.T0800..HH,1,0.9997286,0.0002713799476623535
1002471.IV.T0819..EH,0,0.0067052827,0.006705282721668482
1002471.IV.ZCCA..HH,0,0.0005241765,0.0005241765175014734
1002751.IV.MAGA..HH,1,0.9941215,0.0058785080909729
1002751.IV.ROVR..HH,0,0.13978742,0.13978742063045502
1004351.IV.ASQU..HH,1,0.9944042,0.005595803260803223
1004351.IV.BDI..HH,0,0.002982802,0.002982801990583539
1004351.IV.CRMI..HH,0,0.0073358505,0.00733585050329566
1004351.IV.PLMA..HH,0,0.0038964993,0.0038964992854744196
1004351.GU.POPM..HH,0,0.041359026,0.04135902598500252
1004351.MN.VLC..HH,0,0.08667403,0.0866740271449089
1004511.IV.NOVE..EH,0,0.0011204232,0.001120423199608922
1004511.IV.RAVA..EH,0,0.0007740843,0.0007740842993371189
1004511.IV.T0819..EH,1,0.9767454,0.023254573345184326
1004511.IV.T0822..EH,1,0.99860865,0.0013913512229919434
1004511.IV.T0825..EH,0,0.003931743,0.0039317430928349495
1005551.IV.RAVA..EH,1,0.9983125,0.0016875267028808594
1006731.IV.MAGA..HH,0,0.030289827,0.030289826914668083
1006731.IV.NOVE..EH,1,0.99969876,0.0003012418746948242
1006731.GU.POPM..HH,0,0.004980088,0.004980088211596012
1006731.IV.RAVA..EH,0,0.011079541,0.01107954140752554
1006731.IV.ROVR..HH,1,0.99639195,0.0036080479621887207
1006731.IV.T0800..HH,0,0.06326961,0.06326960772275925
1007041.IV.T0800..HH,1,0.9997408,0.00025922060012817383
1008571.IV.T0819..EH,1,0.99870646,0.0012935400009155273
1008851.IV.T0822..EH,0,0.013688821,0.013688821345567703
1009261.IV.RAVA..EH,0,0.006696596,0.006696595810353756
1009261.IV.T0800..HH,0,0.012920959,0.012920958921313286
1009261.IV.T0821..EH,0,0.0046822135,0.00468221353366971
1009261.IV.ZCCA..HH,1,0.9986921,0.0013079047203063965
1009711.IV.NOVE..EH,0,0.00067562127,0.0006756212678737938
1009711.IV.T0825..EH,1,0.9596575,0.040342509746551514
1011691.IV.MSSA..HH,0,0.005888701,0.0058887009508907795
1011691.IV.PLMA..HH,1,0.9974656,0.0025343894958496094
1011691.MN.VLC..HH,0,0.013433846,0.013433845713734627
1012001.IV.RAVA..EH,0,0.0004893682,0.0004893682198598981
1014971.IV.RAVA..EH,0,0.010746553,0.010746552608907223
1015021.IV.RAVA..EH,0,0.0016497853,0.0016497853212058544
1015641.IV.T0819..EH,1,0.9981359,0.0018640756607055664
1015721.IV.ATBU..EH,1,0.9970835,0.0029165148735046387
